Mixture	Dendritic cell	Natural killer (NK) cell	CD4+ T cell	B cell	Monocyte:CD16-	Natural killer T (NKT) cell	Naive CD4+ T cell	Monocyte:CD16+	Neutrophil	Naive CD8+ T cell	Regulatory T (Treg) cell	Plasma cell	Megakaryocyte	Plasmacytoid dendritic cell	MKI67+ progenitor cell	Exhausted CD8+ T cell	Macrophages	Endothelial cell	Mast cell	Fibroblast	keratinocyte	Basal cell	Myofibroblast	P-value	Correlation	RMSE
GSM5629971	0.0142984865777745	0.166264297438513	0	0.00432689079103638	0.0339806280905001	0	0.167032647792057	0	0	0	0.255392657338502	0	0	0	0	0.146103883122322	0	0	0	0.0314838224988953	0.0230836623176345	0.158033024032764	0	0	0.388824098334699	0.974350831572789
GSM5629972	0	0.110206408087293	0	0	0.276451568913408	0	0.175149476514796	0	0	0	0.259096176292196	0.00500601878747221	0	0.00296839393458851	0.0258304976673057	0.0316151370767227	0.00783813872299424	0.0182400889989941	0	0.0332423582811217	0.000449765652564045	0.0511386012183462	0.00276736985219813	0.021	0.145685878035158	1.07911003904425
GSM5629980	0.0175312721580527	0.0799876345110742	0	0.0113972453566094	0	0.018599317285935	0.0836396129676214	0.00220181434907207	0.14676731540952	0	0.215002599820074	0	0	0	0	0.175717419547432	0	0	0	0.030650369555402	0.0357339216917023	0.182771477347505	0	0	0.561910086370466	0.845193799963609
GSM5629981	0.00482250239029072	0.13314191422137	0	0	0.209274014199384	0	0.169734237348802	0	0	0	0.314171293665092	0.00676796897347982	0	0	0.00144801671933621	0.0234582848687073	0.00233757052912049	0	0	0.0926481235399623	0.00287152821928476	0.0393245453251706	0	0.055	0.100050748960804	1.09588106697276
GSM5629986	0.0140521093424663	0.0536700193641778	0	0.0146052692989996	0	0.0126731366506953	0.0685678799722666	0.00567647440467749	0.357457659666882	0	0.201257695469565	0	0	0.00605588955948412	0	0.107965069723882	0.00597131433065228	0.000443732879844484	0	0.027688107733227	0.00902182884081025	0.110373399380043	0.00452041338232754	0	0.54581090837833	0.840086578190094
GSM5629987	0	0.224893337058897	0	0	0.162129614635105	0	0.00528096549476138	0	0	0	0.340283598382759	0.0123220153825899	0	0.0107942777407652	0	0.0761933141113332	0.0386580042781162	0.0115317742264513	0	0.0869761542653731	0	0.0309369444238493	0	0.093	0.072169511209168	1.09767881763107
GSM5630006	0	0.129574349427554	0.0432395251958895	0	0.2484484070339	0	0	0	0	0.0424852316650036	0.22640122576701	0.031081549842089	0	0.018661610947899	0.0538271055726853	0.0837900089763715	0.01811098393337	0	0	0.0164303845016219	0.00492057020785241	0.0704455524504066	0.0125834944783471	0.001	0.312149971517245	0.993846849429347
GSM5630007	0.00639775419678382	0.175757477472513	0	0	0.223518652411613	0	0.113123869861415	0	0	0	0.312394529521776	0.0028038384508958	0	0	0	0	0.0132149436314036	0.00185459098280489	0	0.108637150122545	0.00219724710290165	0.0400999462453482	0	0.028	0.130099592413536	1.07578051451586
GSM5630008	0.00316725356711324	0.205010494061114	0	0	0.0907531783890244	0	0.120977425790525	0	0	0	0.292488919656961	0.0029679140144826	0	0.00963572563196927	0	0.162131272879007	0.00703996098239224	0	0	0.0367605978450092	0.0114219801162426	0.0556451008487331	0.00200017621742684	0.049	0.10684621735357	1.09957231523752
GSM5630009	0.00284709662487996	0.157896351321074	0	0	0.163460126633296	0	0.116914210093655	0	0	0	0.356376866686069	0	0	0	0	0.0110119501765093	0.020007058963869	0	0	0.139488285950238	0.00412227061580498	0.0250778571765877	0.00279792575801744	0.051	0.104711197009533	1.08369698341475
GSM5630010	0.00455132306113334	0.161108878539656	0	0	0.21951605733459	0	0.216834195239872	0	0	0	0.24726403438184	0.000463717834261297	0	0	0.0086071228107755	0.00131481211224247	0.00562282592715488	0	0	0.0729083734789744	0.00546005687174009	0.0521913552612747	0.00415724714648509	0.023	0.142274344012339	1.07870831640426
GSM5630011	0.00343739035395372	0.233736641876267	0	0	0.213635691590273	0	0.142797270462137	0	0	0	0.230524015098588	0.015337498725898	0	0.00264744183942367	0	0.0325154475312365	0.0175865586489848	8.28352402057981e-06	0	0.0518359777819564	0.00369499709683508	0.0445477228818102	0.00769506258861623	0.051	0.104676007930012	1.09178122794545
GSM5630012	0.0106581817650217	0.163760387682921	0	0	0.142801377285202	0	0.179890616101815	0	0	0	0.306295521049205	0	0	0	0	0.0523815077113483	0	0	0	0.0173344793427215	0.0230886501098176	0.103789278951948	0	0.002	0.262175976960369	1.03232437880947
GSM5630013	0.00184466202247548	0.171398212413923	0	0	0.197859170538259	0	0.110034730626789	0	0	0	0.326928543836151	0.00641660381119902	0	0	0.0124208444722084	0.027563088307045	0.00999603774616094	0.025000742454823	0	0.0637017658766458	0.000765976454161629	0.0359049063906799	0.0101647150494796	0.051	0.104667026116857	1.08845268468537
GSM5630016	0.00946032507309054	0.126270133194316	0	0	0.116879150580472	0	0.145574608599146	0	0	0	0.225345243017028	0	0	0	0	0.174657412352364	0.000691617212914304	0	0	0.0378782589490811	0.00800636418059884	0.155236886840989	0	0	0.413959070298583	0.954204254633876
GSM5630017	0.000400999029237003	0.213559834041322	0	0	0.128473132287337	0	0.13873558225853	0	0	0	0.17389132409458	0.00637283571349832	0	0	0.019369644608824	0.171406456200719	0.0293246340582197	0.00481148101185587	0	0.0892676266568777	0.00295512701411442	0.0214313230248856	0	0.02	0.147940801326817	1.06919961743641
GSM5630018	0.0117537188749861	0.133564954700519	0	0	0.0502490989627862	0	0.145233490722108	0	0	0	0.219503507991188	0.0038714720911124	0	0	0	0.222224204712051	0	0	0	0.0455159675855924	0.0463241884120176	0.121759395947638	0	0.002	0.254139065287162	1.05385035336945
GSM5630019	0.0015495319108122	0.175033755069966	0	0	0.300177329996519	0	0.11144042751197	0	0	0	0.215015847130455	0.00657367264701315	0	0	0.0148662423406644	0	0.00601241937097687	0	0	0.078956197032177	0.00204896820474651	0.0642402089240873	0.0240853998606129	0.004	0.212884561097769	1.04101769809774
GSM5630020	0.0229492093405246	0.108942687246654	0	0	0	0.0421411852926208	0.107859982020912	0	0.0997905281433425	0	0.188192638691585	0	0	0	0	0.163634471611366	0	0	0	0.0262088918974359	0.0522749235854498	0.188005482170109	0	0	0.473268431246049	0.925632040807079
GSM5630021	0.00695074337878426	0.19861568101863	0	0	0.222282754775919	0	0.045699229015031	0	0	0	0.291758698291533	0.0193838210435719	0	0.0136437930650698	0.00824716358550984	0.0753791921603492	0.0228196812839433	0	0	0.0207321292509244	0.00275994358303099	0.0636227662694974	0.00810440327820575	0.004	0.212776787144161	1.04234278070319
GSM5630024	0.0194367987708021	0.00230667810643359	0	0.0140478156334721	0	0.0405899982713985	0.0190792412769935	0.000654068607424043	0.565537253670275	0	0.13628407006884	0.00372780448830104	0	0.00611305899152643	0	0.0617280783962605	0	0	0	0.0235672422616406	0.00662036682816303	0.10030752462847	0	0	0.677138894396153	0.742971208028581
GSM5630025	0.00204448015421481	0.17966787096792	0	0	0.278619775726144	0	0.118437948919597	0	0	0	0.249818292066103	0.0134861393841038	0	0	0.0187766637294484	0.0259047873738648	0.0127790212957634	0.00314686705689508	0	0.0342351248180218	0.00234293875318211	0.05700125198493	0.00373883776981149	0.00700000000000001	0.186283685386362	1.05496734678443
GSM5630031	0.0151155633853296	0.10770622195005	0	0	0.0660727249414455	0.00349131471205469	0.151322868503804	0	0	0	0.242627437514145	0.00755371320713143	0	0	0	0.194977181567306	0	0	0	0.0159237386053621	0.0392211285485349	0.155988107064837	0	0	0.394435984298647	0.974813487039781
GSM5630032	0.00474125291172094	0.159395869222091	0	0	0.315325701778641	0	0.10752819585424	0	0	0	0.238145662342631	0.0116286226473189	0	0	0.00875763123845527	0	0.00664844442655821	0	0	0.0808903778649833	0.00387374741553802	0.0630644942978229	0	0.00800000000000001	0.182595629773317	1.05880345828454
GSM5630034	0.0123151080591982	0.181910137623471	0	0	0.16648777074179	0.00979089327969845	0.152430594053242	0	0	0	0.2359863951633	0	0	0	0	0.039081370775499	0	0.0014782378863326	0	0.0550650954311238	0.0219554823882735	0.123498914598072	0	0.001	0.31713445439961	1.0042508460608
GSM5630035	0	0.192560164429638	0.0312533798037654	0	0.287906304564621	0	0	0	0	0	0.203697051557621	0.0205348547050363	0	0.00456811319042372	0.00308400718039298	0.129261440848454	0.0204096427723815	0.0107752219584289	0	0.0493857161044301	0.00238461930095049	0.0441794835838573	0	0.00700000000000001	0.186553698972147	1.05114322056025
GSM1315609	0.0218125277069108	0.125810933155692	0	0.0133227684805321	0	0	0.0801657215411257	0	0.136739880363056	0	0.223077403925649	0	0	0	0	0.151119733753962	0	0	0	0.0255612204205164	0.0408525875806877	0.181537223071868	0	0	0.48490174318955	0.909451603602201
GSM1315610	0.0351525541762623	0.0696511209428731	0.0328865210909695	0.0422048145041437	0	0.0304843169490657	0	0.0149373237992344	0.250126545260044	0	0.208642444133778	0	0	0	0	0	0	0	0	0.0269900446552281	0.0472082328468707	0.241716081641531	0	0	0.559475412490312	0.875574577711933
GSM1315612	0.0186482955810333	0.235537395589121	0	0	0.100564721013952	0	0.0690518490439736	0	0	0	0.294782517609014	0.00402443916263204	0	0.00205626303946653	0	0.0913844481575814	0.0169374122388647	0	0	0.0320910454730344	0.0097617693192724	0.125159843772054	0	0.001	0.336433170553955	0.989933863637785
GSM1315613	0.0164736297003014	0.154104975392644	0	0	0.0881564287260412	0	0.220323920897182	0	0	0	0.304594173810272	0.00151735147392959	0	0	0.0178884471110274	0	0.00131866045163812	0	0	0.0576160690604264	0.0108275256615255	0.127178817715012	0	0.002	0.300890748706378	1.01876782905613
GSM1315615	0.0231830189003123	0.0856277985261109	0	0.00382374480854261	0	0.0235451533197774	0.0984019308249869	0	0.162691475700821	0	0.243675534394995	0.00206295979981995	0	0	0	0.161635802586726	0	0.00105612889665462	0	0.0204111102908422	0.0271313960554599	0.146753945894951	0	0	0.50485458884846	0.880932785162522
GSM1315617	0.00579805809526457	0.0987919057064848	0	0	0.151514027146962	0	0.188204581500325	0	0	0	0.203482636342018	0	0	0	0.00059953722244318	0.213139992982356	0.00300853450758293	0	0	0.0186700784302404	0.0112843630797788	0.105506284986545	0	0.002	0.296532563046028	1.01858706290679
GSM1315618	0.000422924701528565	0.0899491597716271	0	0	0.157733095257413	0	0.178532018498732	0	0	0	0.274961382964048	0	0	0	0.0232727387463574	0.099801215013797	0	0	0	0.015214309331112	0.00924793273567161	0.150865222979712	0	0	0.383918672602089	0.973406784345453
GSM1315623	0.0184920939833061	0.136948004759438	0	0	0.0339874235620417	0	0.122197466925333	0	0	0	0.302634774741113	0.000247509791741618	0	0	0	0.189021575305451	0	0	0	0.023292992181012	0.0175281766793105	0.155649982071252	0	0	0.41058145646823	0.958428436446417
GSM1315627	0.00488739163241649	0.135989070010381	0	0	0.0640627533885516	0	0.298910714610903	0	0	0	0.24032533251376	0	0	0	0	0.104593533326314	0.00604788005695919	0	0	0.017836786861299	0.00676910601371014	0.120577431585706	0	0.002	0.295378377192401	1.02457319456871
GSM1315629	0.00228242432056057	0.171718473175371	0	0.00341517878267762	0.0499726002570821	0	0.300394354282613	0	0	0	0.296786167789302	0.00186024148609402	0	0	0	0.0164150247493073	0.00178117484876419	0	0	0.0161978962169751	0.0130379171435864	0.126138546947666	0	0.001	0.361952809212909	0.978102722490589
GSM1315630	0.00648271622771872	0.080844433384027	0	0	0.0863509684364798	0.0206263869483946	0.253636126586339	0	0	0	0.301693711059158	0	0	0	0	0.0768526857328727	0.00138007579123357	0	0	0.0311705846167496	0.00774044477860265	0.133221866438425	0	0	0.379073981308852	0.971797094145054
GSM1315631	0.0164630295251952	0.138937272040023	0	0	0.0698535823521507	0	0.158834853699019	0	0	0	0.270686039616337	0.00827701967780876	0	0	0	0.140978124452942	0	0	0	0.00666433140748693	0.0232386433043355	0.166067103924703	0	0	0.407852768723417	0.965801654380448
GSM1315632	0.0159741177359768	0.109927194276494	0	0.0119147540061452	0	0	0.0917827876076943	4.56529915658284e-05	0.169715312128532	0	0.227507848797597	0	0	0.00121930023277045	0	0.154008539432961	0	0	0	0.0201516350366567	0.0223629891896433	0.172355061893301	0.00303480667066212	0	0.569012056810906	0.83392749435916
GSM1315633	0.0147522764407693	0.160992042889296	0	0	0.201908051571229	0	0.152656862221858	0	0	0	0.253073102509946	0	0	0	0	0.0228610359708195	0.00209325151418433	0	0	0.0366626860089748	0.010537046990136	0.144463643882786	0	0	0.384559049183282	0.968391696654823
GSM1315634	0.0177319042259189	0.102671174487704	0	0.0231317613282197	0	0.0205117997084246	0.11836320042891	0	0.228734952877778	0	0.235447474687326	0	0	0	0	0.0553159066885259	0	0	0	0.044998159080646	0.0186215093919632	0.132946653985782	0.00152550310880247	0	0.510247884338715	0.869801436021665
GSM1315636	0.017829149972282	0.12604451543295	0	0	0.0494977104442394	0	0.113147541256304	0	0	0	0.289568374751627	0.00117192417392283	0	0	0	0.168919523725407	0	0	0	0.0295395624815245	0.0240619923542805	0.180219705407463	0	0	0.438450623220537	0.947867136882732
GSM1315637	0.00764345252701045	0.0942001454277955	0	0	0.124649662000449	0	0.12887168016089	0	0	0	0.220807385841577	0.00492284730788109	0	0	0.000268100663213381	0.256818429167037	0	0	0	0.014491740232268	0.0113552793409821	0.135971277330897	0	0	0.388307920787931	0.968460963585551
GSM1315638	0.012043435903051	0.117128026705751	0	0	0.0740720796952556	0	0.109177917865467	0	0	0	0.246228138188581	0.00117530350613179	0	0	0	0.222795224456523	0	0	0	0.0166960291738922	0.0204915767079199	0.180192267797427	0	0	0.420407975883321	0.962482682563897
GSM1315640	0.00629389514037933	0.11251261284542	0	0	0.0298976612263952	0	0.250842495831394	0	0	0	0.235397396488767	0	0	0	0	0.205415775915636	0.00315171732293763	0.000677057998129317	0	0.0172423513359801	0.0118393694186141	0.126729666476347	0	0.001	0.347761206974091	0.995505678363564
GSM1315641	0.0166656589899047	0.131595032726293	0	0	0.0530189462519048	0.0061437211388824	0.208106034722051	0	0	0	0.246089829281826	0	0	0	0	0.151565054868948	0.00491583397658977	0	0	0.0336736206450971	0.0102222871126648	0.138003980285839	0	0	0.370491343657449	0.981505624531466
GSM1315642	0.00976824750894735	0.151412578306448	0	0	0.12558175638261	0	0.139994863671285	0	0	0	0.235209546298104	0.000895730544149247	0	0	0	0.154521487624246	0.00175432835552919	0.00151537065645571	0	0.0224828960680107	0.0184875918868013	0.138375602697415	0	0	0.375332276675456	0.974518129377806
GSM1315643	0.00653912853044591	0.104510441150328	0	0	0.104982399838454	0	0.160343494158129	0	0	0	0.257554638146979	0.00462943539889261	0	0	0	0.191144478956011	0.00100206604842364	0	0	0.0178380097324281	0.00500741646290038	0.146448491577008	0	0	0.420982788721676	0.946807352665648
GSM1315648	0.0120362413700477	0.149919399335561	0	0	0.193881082061885	0	0.0737118969359584	0	0	0	0.205464028078469	0	0	0	0	0.191179338509488	0	0	0	0.0242551186998434	0.0279066933868084	0.12164620162194	0	0.002	0.303509342678722	1.01675349680572
GSM1315650	0.00651179016079415	0.168318736553521	0	0	0.152521394848682	0	0.182764081278416	0	0	0	0.204719881976715	0.0104197446191676	0	0.00621078613382337	0.0154423638990883	0.119882530944892	0.0234793337517106	0	0	0.037202077221388	0	0.0703736354906815	0.00215364312112053	0.004	0.208933412731966	1.05385608505774
GSM1315657	0.00407819806279859	0.125678939491642	0	0	0.167900105793346	0	0.180449895867771	0	0	0	0.270651048224557	0	0	0	0	0.0748659598036061	0	0	0	0.0435022920488715	0.0184261859910301	0.114447374716378	0	0.002	0.296826895470132	1.01490043399721
GSM1315661	0.00594174336826076	0.155561438596849	0	0	0.160090490967024	0	0.124901072189812	0	0	0	0.242402359123286	0.000969840502728343	0	0	0	0.143649228805	0.00149296654701495	0.000697985588563062	0	0.0209197798206794	0.014267359105228	0.129105735385555	0	0.001	0.358207937142058	0.980638679199236
GSM1315662	0.0189872991906753	0.119655376564608	0	0.00731642833480731	0	0.00958342835283816	0.111504367273302	0	0.101115316111158	0	0.265862657783497	0	0	0	0	0.167128397534008	0.00832084559465117	0.00174862592211125	0	0.0476561250819396	0.0124071394680969	0.128713992788308	0	0.001	0.336370435847751	0.994112511667552
GSM1315666	0.013229212906396	0.120697318654569	0	0	0.0913298550523936	0	0.176832426670207	0	0	0	0.266854999989331	0	0	0	0	0.134017491066541	0	0	0	0.0360496766705676	0.0231972518708294	0.137791767119165	0	0	0.387019545719306	0.968306256965981
GSM1315667	0.00384319895112669	0.200251373812255	0	0.00377734201196369	0.0603337728138312	0	0.285412393233254	0	0	0	0.255285320160842	0	0	0	0	0.0288181325075214	0	0	0	0.0156984969210454	0.0203493582278308	0.126230611360329	0	0.001	0.34933984342481	0.986213801608302
GSM1315670	0.00932261325384675	0.147808662016087	0	0	0.0768648248217916	0	0.142431719720537	0	0	0	0.26072815597743	0	0	0	0	0.174008651960172	0.00638339779047601	0	0	0.0417913617512265	0.00474891039562986	0.135911702312803	0	0.001	0.345260512752305	0.993230657516109
GSM1315671	0.0179216906995546	0.167357344826513	0	0	0.0902368655167711	0.00358986471525834	0.170492375494255	0	0	0	0.296005149493263	0	0	0	0	0.0296805322781025	0.0064869737470601	0	0	0.0431757920610868	0.0087201999885445	0.166333211179591	0	0	0.403870098067654	0.963077917977789
GSM1315672	0.00487387833872197	0.228461393146621	0	0	0.107746469011471	0	0.184593401851411	0	0	0	0.231184646491409	0.00219034126900997	0	0.0019469787442759	0	0.0903369477222671	0.0172916603210749	0.00839887178422309	0	0.0402126691486529	0.00463352020368842	0.0781292219671735	0	0.003	0.236139930962705	1.03540771891506
