"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IL7R",0,2.18098335612569,0.851,0.247,0,"0","IL7R"
"LTB",0,1.72031146614182,0.863,0.373,0,"0","LTB"
"TCF7",0,1.4000323932242,0.616,0.176,0,"0","TCF7"
"LDHB",0,1.39058483663364,0.774,0.432,0,"0","LDHB"
"TRAC",0,1.29728153068694,0.722,0.245,0,"0","TRAC"
"CD3E",0,1.25823613868037,0.779,0.274,0,"0","CD3E"
"TRBC2",0,1.21541489616002,0.705,0.319,0,"0","TRBC2"
"RCAN3",0,1.2127107531467,0.53,0.161,0,"0","RCAN3"
"CD3D",0,1.16534204891565,0.81,0.289,0,"0","CD3D"
"CD3G",0,1.14824267381064,0.74,0.24,0,"0","CD3G"
"NOSIP",0,1.11666501681488,0.567,0.294,0,"0","NOSIP"
"LEPROTL1",0,1.05056417294981,0.647,0.35,0,"0","LEPROTL1"
"RPS12",0,1.04622486977721,0.997,0.994,0,"0","RPS12"
"ETS1",0,1.00930338592611,0.736,0.382,0,"0","ETS1"
"RPL30",0,0.978910037612128,0.995,0.986,0,"0","RPL30"
"EEF1B2",0,0.973676342968687,0.945,0.884,0,"0","EEF1B2"
"RPS29",0,0.973327569149459,0.992,0.982,0,"0","RPS29"
"PIK3IP1",0,0.963485064532159,0.516,0.219,0,"0","PIK3IP1"
"RPSA",0,0.955458281246249,0.962,0.918,0,"0","RPSA"
"GLTSCR2",0,0.954762794521533,0.801,0.521,0,"0","GLTSCR2"
"RPS25",0,0.953970336401431,0.983,0.972,0,"0","RPS25"
"RPS3A",0,0.950719547886913,0.992,0.98,0,"0","RPS3A"
"RPS27",0,0.92076754351899,0.998,0.993,0,"0","RPS27"
"RPS3",0,0.917541597484234,0.992,0.978,0,"0","RPS3"
"RPL5",0,0.903905430415229,0.975,0.953,0,"0","RPL5"
"RPL32",0,0.901810267599396,0.996,0.99,0,"0","RPL32"
"RPS4X",0,0.901049002376275,0.986,0.97,0,"0","RPS4X"
"RPL13",0,0.894586944855726,0.998,0.993,0,"0","RPL13"
"RPS15A",0,0.89431700596559,0.99,0.985,0,"0","RPS15A"
"RPS27A",0,0.891821232633153,0.995,0.989,0,"0","RPS27A"
"IL32",0,0.890807028875876,0.817,0.391,0,"0","IL32"
"SARAF",0,0.885904472823712,0.822,0.661,0,"0","SARAF"
"RPL9",0,0.885722096615875,0.987,0.961,0,"0","RPL9"
"RPS6",0,0.883826735540906,0.99,0.982,0,"0","RPS6"
"RPL34",0,0.879653853261783,0.994,0.988,0,"0","RPL34"
"RPL14",0,0.864759292524824,0.982,0.971,0,"0","RPL14"
"RPL21",0,0.860287853101536,0.992,0.976,0,"0","RPL21"
"RPL3",0,0.856079208743161,0.989,0.972,0,"0","RPL3"
"RPS21",0,0.830833581214975,0.967,0.959,0,"0","RPS21"
"RPL11",0,0.827510997358277,0.994,0.984,0,"0","RPL11"
"RPS18",0,0.81552354218009,0.998,0.991,0,"0","RPS18"
"RPS10",0,0.810472574648885,0.941,0.925,0,"0","RPS10"
"GIMAP7",0,0.809176449092828,0.598,0.334,0,"0","GIMAP7"
"RPL22",0,0.80532089927899,0.962,0.943,0,"0","RPL22"
"RPL10A",0,0.801985487421448,0.97,0.951,0,"0","RPL10A"
"RPS8",0,0.800172883186703,0.989,0.983,0,"0","RPS8"
"RPS14",0,0.794343037862584,0.996,0.987,0,"0","RPS14"
"CD69",0,0.78863500178632,0.613,0.304,0,"0","CD69"
"GNB2L1",0,0.785660854353124,0.948,0.709,0,"0","GNB2L1"
"RPL39",0,0.780372142914453,0.99,0.981,0,"0","RPL39"
"RPS5",0,0.778912241075147,0.959,0.94,0,"0","RPS5"
"RPS23",0,0.770404665720364,0.993,0.982,0,"0","RPS23"
"RPS20",0,0.766763680143879,0.966,0.942,0,"0","RPS20"
"RPL37",0,0.759549186802476,0.989,0.983,0,"0","RPL37"
"RPL19",0,0.758779535378915,0.994,0.984,0,"0","RPL19"
"RPS28",0,0.756906165681144,0.988,0.974,0,"0","RPS28"
"RPL36",0,0.756190645066001,0.975,0.971,0,"0","RPL36"
"RPL10",0,0.753035383282803,0.998,0.991,0,"0","RPL10"
"CD2",0,0.739787471756387,0.607,0.267,0,"0","CD2"
"TOMM7",0,0.73805616380219,0.907,0.855,0,"0","TOMM7"
"RPL6",0,0.738014486321931,0.979,0.908,0,"0","RPL6"
"RPL38",0,0.732615137886264,0.964,0.958,0,"0","RPL38"
"RPS13",0,0.721744847801666,0.982,0.977,0,"0","RPS13"
"AES",0,0.711693815310148,0.787,0.565,0,"0","AES"
"RPS16",0,0.710615730532674,0.983,0.975,0,"0","RPS16"
"RPL23A",0,0.708863192007572,0.986,0.968,0,"0","RPL23A"
