"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,2.18098335612569,0.851,0.247,0,"0","IL7R"
"2",0,1.72031146614182,0.863,0.373,0,"0","LTB"
"3",0,1.4000323932242,0.616,0.176,0,"0","TCF7"
"4",0,1.39058483663364,0.774,0.432,0,"0","LDHB"
"5",0,1.29728153068694,0.722,0.245,0,"0","TRAC"
"6",0,1.25823613868037,0.779,0.274,0,"0","CD3E"
"7",0,1.21541489616002,0.705,0.319,0,"0","TRBC2"
"8",0,1.2127107531467,0.53,0.161,0,"0","RCAN3"
"9",0,1.16534204891565,0.81,0.289,0,"0","CD3D"
"10",0,1.14824267381064,0.74,0.24,0,"0","CD3G"
"11",0,3.19627398611165,0.998,0.412,0,"1","LYZ"
"12",0,2.85008509173762,0.97,0.181,0,"1","VCAN"
"13",0,2.78777059603157,0.891,0.113,0,"1","S100A12"
"14",0,2.70493363479569,0.984,0.184,0,"1","FCN1"
"15",0,2.6316484769086,0.958,0.162,0,"1","MNDA"
"16",0,2.56662736325737,0.996,0.507,0,"1","CTSS"
"17",0,2.49420349845317,0.998,0.577,0,"1","S100A9"
"18",0,2.21642636176828,0.965,0.29,0,"1","GPX1"
"19",0,2.20684037501012,0.893,0.105,0,"1","CD14"
"20",0,2.19975996404216,0.586,0.116,0,"1","CXCL8"
"21",0,3.00757941144233,0.947,0.233,0,"10","HLA-DQA1"
"22",0,2.84507039362861,0.985,0.518,0,"10","HLA-DPB1"
"23",0,2.84105825134595,0.981,0.493,0,"10","HLA-DPA1"
"24",0,2.80180349639943,0.979,0.498,0,"10","HLA-DRB1"
"25",0,2.8008419767109,0.995,0.548,0,"10","HLA-DRA"
"26",0,2.74116893304541,0.786,0.014,0,"10","FCER1A"
"27",0,2.60851148856792,0.963,0.47,0,"10","CST3"
"28",0,2.56393513272242,0.957,0.358,0,"10","HLA-DQB1"
"29",0,2.35716189487919,0.997,0.68,0,"10","CD74"
"30",0,2.33927236193881,0.738,0.028,0,"10","CLEC10A"
"31",0,6.11356950901137,0.964,0.019,0,"11","DCN"
"32",0,5.72444838340571,0.942,0.022,0,"11","COL1A1"
"33",0,5.61574917403231,0.959,0.021,0,"11","COL1A2"
"34",0,5.38614839250885,0.927,0.017,0,"11","COL3A1"
"35",0,4.82543993880238,0.809,0.041,0,"11","CXCL14"
"36",0,4.60334219389323,0.879,0.268,0,"11","CFD"
"37",0,4.48264171564594,0.735,0.011,0,"11","APOD"
"38",0,4.47606990951693,0.872,0.015,0,"11","CCDC80"
"39",0,4.41493424518295,0.939,0.032,0,"11","COL6A1"
"40",0,4.33278124513734,0.947,0.059,0,"11","COL6A2"
"41",0,4.93773967978651,0.727,0.029,0,"12","ACTA2"
"42",0,4.69801963491803,0.75,0.026,0,"12","C11orf96"
"43",0,4.33270078875661,0.66,0.042,0,"12","TAGLN"
"44",0,4.25809373913079,0.93,0.056,0,"12","CALD1"
"45",0,4.1873503372912,0.74,0.028,0,"12","MYL9"
"46",0,4.18262390583735,0.717,0.033,0,"12","TPM2"
"47",0,4.04484238068255,0.942,0.131,0,"12","IGFBP7"
"48",0,3.89506369002934,0.831,0.084,0,"12","ADIRF"
"49",0,3.74874047790438,0.517,0.034,0,"12","CCL2"
"50",0,3.56025487603166,0.587,0.036,0,"12","RGS16"
"51",0,4.81179018133717,0.987,0.476,0,"13","TXN"
"52",0,4.13875855035713,0.831,0.02,0,"13","CCL22"
"53",0,3.50886759524159,0.96,0.251,0,"13","BIRC3"
"54",0,3.37116818408543,0.903,0.011,0,"13","IDO1"
"55",0,3.20303927076685,0.934,0.06,0,"13","FSCN1"
"56",0,3.19182081318907,0.986,0.152,0,"13","ATP5F1E"
"57",0,3.12324626927649,0.958,0.227,0,"13","MARCKSL1"
"58",0,3.04676881332858,0.997,0.521,0,"13","HLA-DPB1"
"59",0,3.02334419719913,0.883,0.036,0,"13","RAMP1"
"60",0,2.8246051625334,1,0.682,0,"13","CD74"
"61",0,1.68484800818076,0.734,0.168,0,"14","IGKC"
"62",0,1.61602049004293,0.854,0.081,0,"14","MS4A1"
"63",0,1.51147957713876,0.866,0.09,0,"14","CD79A"
"64",0,1.44703148003518,0.715,0.071,0,"14","IGHM"
"65",0,1.28769705832113,0.64,0.055,0,"14","IGHD"
"66",0,1.17042135988794,0.727,0.078,0,"14","BANK1"
"67",0,1.09834358229519,0.996,0.683,0,"14","CD74"
"68",0,1.09544677254864,0.998,0.553,0,"14","HLA-DRA"
"69",0,1.07150195314355,0.715,0.133,0,"14","RALGPS2"
"70",0,1.04774209240804,0.738,0.137,0,"14","CD79B"
"71",0,4.24875847392263,0.65,0.024,0,"15","RNASE1"
"72",0,3.6025124536189,0.698,0.02,0,"15","C1QA"
"73",0,3.35156585327033,0.591,0.007,0,"15","C1QB"
"74",0,3.23794969260506,0.646,0.204,0,"15","CXCL8"
"75",0,3.00312953700059,0.999,0.975,0,"15","FTL"
"76",0,2.98289834150501,0.905,0.349,0,"15","CTSB"
"77",0,2.79483791887371,0.997,0.962,0,"15","FTH1"
"78",0,2.7538910896999,0.647,0.003,0,"15","C1QC"
"79",0,2.7053597586654,0.661,0.233,0,"15","GPR183"
"80",0,2.70421955445536,0.632,0.009,0,"15","MRC1"
"81",0,6.01023839560241,0.852,0.015,0,"16","PPBP"
"82",0,5.20906915728623,0.817,0.008,0,"16","PF4"
"83",0,4.43293544605009,0.73,0.146,0,"16","NRGN"
"84",0,4.0776815189777,0.727,0.006,0,"16","SDPR"
"85",0,4.04543785106919,0.678,0.004,0,"16","TUBB1"
"86",0,3.94725987211786,0.672,0.037,0,"16","GNG11"
