"","ClusterID","Blue","DICE","HPCA","Mona","Nover"
"1","0","CD4+ Tcm","T cells, CD4+, Th1","T_cell:CD4+_central_memory","Th17 cells","CD4+ Effector Memory"
"2","1","CD4+ T-cells","T cells, CD4+, naive","T_cell:CD4+_Naive","Naive CD4 T cells","Naive CD4+ T cells"
"3","10","CD8+ Tcm","NK cells","T_cell:CD8+","Non-Vd2 gd T cells","CD8+ Effector Memory RA"
"4","11","CD8+ Tcm","NK cells","T_cell:CD8+","Non-Vd2 gd T cells","CD8+ Effector Memory RA"
"5","12","Tregs","T cells, CD4+, memory TREG","T_cell:CD4+_central_memory","T regulatory cells","CD4+ Effector Memory"
"6","13","NK cells","NK cells","NK_cell:CD56hiCD62L+","Natural killer cells","CD8+ Effector Memory RA"
"7","14","CD8+ Tcm","NK cells","T_cell:CD4+_effector_memory","Vd2 gd T cells","CD8+ Central Memory"
"8","15","Monocytes","Monocytes, CD14+","T_cell:CD8+","Intermediate monocytes","CD8+ Effector Memory RA"
"9","16","CD4+ Tcm","T cells, CD4+, Th1","T_cell:CD4+_central_memory","Th1 cells","CD8+ Central Memory"
"10","17","CD8+ Tcm","T cells, CD4+, Th1","T_cell:CD4+_central_memory","Central memory CD8 T cells","CD8+ Central Memory"
"11","2","NK cells","NK cells","NK_cell","Natural killer cells","CD8+ Effector Memory RA"
"12","3","CD8+ Tem","NK cells","T_cell:CD8+","Terminal effector CD8 T cells","CD8+ Effector Memory RA"
"13","4","Monocytes","Monocytes, CD14+","T_cell:CD8+","Intermediate monocytes","CD8+ Effector Memory RA"
"14","5","CD8+ Tcm","NK cells","T_cell:CD8+","Vd2 gd T cells","CD8+ Effector Memory"
"15","6","naive B-cells","B cells, naive","B_cell:Naive","Naive B cells","Naive B cells"
"16","7","CD4+ T-cells","T cells, CD8+, naive","T_cell:CD4+_Naive","Naive CD8 T cells","Naive CD8+ T cells"
"17","8","CD8+ Tem","NK cells","T_cell:CD8+","Vd2 gd T cells","CD8+ Effector Memory"
"18","9","Class-switched memory B-cells","B cells, naive","B_cell:Memory","Exhausted B cells","Mature B cells class able to switch"
