"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IL7R",0,1.33209645480466,0.971,0.54,0,"0","IL7R"
"LTB",0,1.08692767232036,0.981,0.651,0,"0","LTB"
"ITGB1",0,0.775968887954806,0.741,0.394,0,"0","ITGB1"
"GPR183",0,0.749574463214083,0.521,0.199,0,"0","GPR183"
"LDHB",0,0.745640339226373,0.9,0.571,0,"0","LDHB"
"VIM",0,0.74266362277219,0.952,0.765,0,"0","VIM"
"JUNB",0,0.740766871051662,0.897,0.768,0,"0","JUNB"
"TNFAIP3",0,0.736359350845342,0.69,0.395,0,"0","TNFAIP3"
"AQP3",0,0.735431191000077,0.374,0.094,0,"0","AQP3"
"TRADD",0,0.708905048785908,0.471,0.162,0,"0","TRADD"
"TRAC",0,0.696660568132435,0.856,0.522,0,"0","TRAC"
"ANXA1",0,0.677225996500809,0.866,0.551,0,"0","ANXA1"
"GSTK1",0,0.653069353674865,0.781,0.482,0,"0","GSTK1"
"PLP2",0,0.644425435215765,0.529,0.232,0,"0","PLP2"
"INPP4B",0,0.640737111251914,0.407,0.132,0,"0","INPP4B"
"TRAT1",0,0.637100750359434,0.463,0.167,0,"0","TRAT1"
"MAL",0,0.632268424718239,0.465,0.182,0,"0","MAL"
"FXYD5",0,0.626704532535777,0.865,0.622,0,"0","FXYD5"
"CORO1B",0,0.614451174422489,0.418,0.165,0,"0","CORO1B"
"NOSIP",0,0.611969907147976,0.668,0.372,0,"0","NOSIP"
"GATA3",0,0.58512017288108,0.345,0.124,0,"0","GATA3"
"ZFP36L2",0,0.575101158305665,0.934,0.787,0,"0","ZFP36L2"
"RCAN3",0,0.571000299610709,0.625,0.304,0,"0","RCAN3"
"IL32",0,0.560033462565315,0.956,0.677,0,"0","IL32"
"CD40LG",0,0.551101986441604,0.28,0.066,0,"0","CD40LG"
"TIMP1",0,0.548641580554967,0.46,0.183,0,"0","TIMP1"
"S100A10",0,0.537510664366845,0.894,0.674,0,"0","S100A10"
"TTC39C",0,0.527222609680386,0.497,0.233,0,"0","TTC39C"
"RGCC",0,0.526738514441936,0.352,0.138,0,"0","RGCC"
"LIMS1",0,0.502370860759215,0.355,0.144,0,"0","LIMS1"
"PAG1",0,0.50085719738233,0.451,0.21,0,"0","PAG1"
"TNFRSF4",0,0.499904241662386,0.203,0.027,0,"0","TNFRSF4"
"HINT1",0,0.498722597090794,0.954,0.796,0,"0","HINT1"
"SOCS3",0,0.494286960667307,0.321,0.122,0,"0","SOCS3"
"AP3M2",0,0.46216345585214,0.287,0.1,0,"0","AP3M2"
"PBXIP1",0,0.454788037366388,0.488,0.25,0,"0","PBXIP1"
"ARHGAP15",0,0.452950006051648,0.562,0.317,0,"0","ARHGAP15"
"TPT1",0,0.444818482710094,1,0.998,0,"0","TPT1"
"S100A11",0,0.442505802933242,0.698,0.401,0,"0","S100A11"
"TNFRSF25",0,0.438894680966716,0.314,0.116,0,"0","TNFRSF25"
"MDFIC",0,0.435518060358581,0.402,0.19,0,"0","MDFIC"
"CD28",0,0.435436993143354,0.294,0.103,0,"0","CD28"
"CD69",0,0.433689855031924,0.803,0.582,0,"0","CD69"
"ITM2A",0,0.433327874087711,0.481,0.268,0,"0","ITM2A"
"LEPROTL1",0,0.432224979879106,0.726,0.466,0,"0","LEPROTL1"
"CRIP1",0,0.419633358939578,0.47,0.256,0,"0","CRIP1"
"RPL36",0,0.418483200356206,1,0.975,0,"0","RPL36"
"PASK",0,0.408215634177971,0.226,0.09,0,"0","PASK"
"TCF7",0,0.406841909214625,0.678,0.397,0,"0","TCF7"
"LPAR6",0,0.406166818580748,0.235,0.081,0,"0","LPAR6"
"FYB",0,0.404950911942972,0.838,0.601,0,"0","FYB"
"RPL36A",0,0.403433083131931,0.954,0.805,0,"0","RPL36A"
