"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,1.33209645480466,0.971,0.54,0,"0","IL7R"
"2",0,1.08692767232036,0.981,0.651,0,"0","LTB"
"3",0,0.775968887954806,0.741,0.394,0,"0","ITGB1"
"4",0,0.749574463214083,0.521,0.199,0,"0","GPR183"
"5",0,0.745640339226373,0.9,0.571,0,"0","LDHB"
"6",0,0.74266362277219,0.952,0.765,0,"0","VIM"
"7",0,0.740766871051662,0.897,0.768,0,"0","JUNB"
"8",0,0.736359350845342,0.69,0.395,0,"0","TNFAIP3"
"9",0,0.735431191000077,0.374,0.094,0,"0","AQP3"
"10",0,0.708905048785908,0.471,0.162,0,"0","TRADD"
"11",0,1.0369030931348,0.583,0.202,0,"1","LEF1"
"12",0,1.02033073907186,0.774,0.385,0,"1","TCF7"
"13",0,1.00974554389457,0.523,0.167,0,"1","CCR7"
"14",0,0.941060532816276,0.462,0.143,0,"1","IL6ST"
"15",0,0.916892825216776,0.329,0.063,0,"1","TSHZ2"
"16",0,0.910661787251242,0.359,0.068,0,"1","FHIT"
"17",0,0.898663529717359,0.509,0.179,0,"1","MAL"
"18",0,0.846802190659328,0.436,0.144,0,"1","TRABD2A"
"19",0,0.833653201676555,0.634,0.309,0,"1","RCAN3"
"20",0,0.822978811909618,0.695,0.373,0,"1","NOSIP"
"21",0,0.41433984286143,0.783,0.268,0,"10","KLRD1"
"22",0,0.401041996985798,0.753,0.272,0,"10","PRF1"
"23",0,0.380706454842117,0.886,0.404,0,"10","GNLY"
"24",0,0.371061292962629,0.521,0.171,0,"10","SPON2"
"25",0,0.367301663926952,0.766,0.263,0,"10","GZMH"
"26",0,0.354120044251332,0.773,0.259,0,"10","GZMB"
"27",4.6675055329072e-283,0.372592639851121,0.794,0.435,1.31572313467121e-278,"10","TCF7"
"28",1.08558158391683e-272,0.345426144686898,0.669,0.345,3.06014592690314e-268,"10","BCL11B"
"29",5.19946551497493e-238,0.359545643508141,0.838,0.503,1.46567733401628e-233,"10","AAK1"
"30",3.25064241312899e-211,0.341628820066432,0.934,0.633,9.1632358983693e-207,"10","FYB"
"31",0,1.57776591825065,0.74,0.201,0,"11","IGKC"
"32",0,1.56376458075564,0.937,0.124,0,"11","MS4A1"
"33",0,1.56280347774491,1,0.542,0,"11","CD74"
"34",0,1.52898139145305,0.997,0.324,0,"11","HLA-DRA"
"35",0,1.49732062849273,0.458,0.103,0,"11","IGLC2"
