"","ClusterID","Blue","DICE","HPCA","Mona","Nover"
"1","0","Monocytes","Monocytes, CD14+","Monocyte:CD16-","Classical monocytes","Monocytes"
"2","1","Monocytes","Monocytes, CD14+","Monocyte:CD16-","Classical monocytes","Monocytes"
"3","10","Monocytes","Monocytes, CD14+","Monocyte:CD16-","Classical monocytes","Monocytes"
"4","11","Macrophages","Monocytes, CD14+","Macrophage:monocyte-derived:M-CSF","Myeloid dendritic cells","Monocytes"
"5","12","Monocytes","Monocytes, CD14+","Monocyte:CD16-","Classical monocytes","Monocytes"
"6","13","Monocytes","Monocytes, CD16+","Monocyte:CD16+","Intermediate monocytes","Granulocytes (Neutrophils)"
"7","14","Monocytes","Monocytes, CD14+","Monocyte:CD16+","Plasmacytoid dendritic cells","Plasmacytoid Dendritic Cells"
"8","15","Monocytes","Monocytes, CD14+","Monocyte:CD16-","Myeloid dendritic cells","Monocytes"
"9","16","Monocytes","Monocytes, CD14+","Monocyte:CD16-","Myeloid dendritic cells","Myeloid Dendritic Cells"
"10","17","Monocytes","Monocytes, CD14+","T_cell:CD4+","Exhausted B cells","Mature B cells class switched"
"11","18","Monocytes","Monocytes, CD14+","Monocyte:CD16+","Myeloid dendritic cells","Myeloid Dendritic Cells"
"12","19","Monocytes","Monocytes, CD14+","DC:monocyte-derived:anti-DC-SIGN_2h","Low-density basophils","Myeloid Dendritic Cells"
"13","2","Monocytes","Monocytes, CD14+","Monocyte:CD16-","Intermediate monocytes","CD8+ Effector Memory RA"
"14","20","MPP","Monocytes, CD14+","CMP","Progenitor cells","Hematopoietic stem cells_CD133+ CD34dim"
"15","3","Monocytes","Monocytes, CD16+","Monocyte:CD16+","Intermediate monocytes","Monocytes"
"16","4","Monocytes","Monocytes, CD14+","Monocyte:CD16-","Classical monocytes","Monocytes"
"17","5","Monocytes","Monocytes, CD14+","Monocyte:CD16-","Classical monocytes","Monocytes"
"18","6","Monocytes","Monocytes, CD14+","Monocyte:CD16-","Intermediate monocytes","Monocytes"
"19","7","Monocytes","Monocytes, CD14+","Monocyte:CD16-","Classical monocytes","Monocytes"
"20","8","Monocytes","Monocytes, CD14+","Monocyte:CD16-","Myeloid dendritic cells","Monocytes"
"21","9","DC","Monocytes, CD14+","DC:monocyte-derived:mature","Myeloid dendritic cells","CD8+ Effector Memory RA"
