"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"S100A8",0,1.72058284238054,0.999,0.895,0,"0","S100A8"
"S100A12",0,1.64870982031995,0.968,0.605,0,"0","S100A12"
"S100A9",0,1.60806013825121,1,0.957,0,"0","S100A9"
"VCAN",0,1.1636595971535,0.99,0.753,0,"0","VCAN"
"MNDA",0,0.95468632472262,0.976,0.807,0,"0","MNDA"
"RBP7",0,0.893832938786946,0.609,0.325,0,"0","RBP7"
"CYP1B1",0,0.893443721207513,0.58,0.292,0,"0","CYP1B1"
"PLBD1",0,0.871868491047642,0.672,0.452,0,"0","PLBD1"
"MEGF9",0,0.841750459711297,0.737,0.482,0,"0","MEGF9"
"CTSD",0,0.838746916449821,0.927,0.747,0,"0","CTSD"
"LYZ",0,0.809534383708773,1,0.965,0,"0","LYZ"
"CSF3R",0,0.785195311518213,0.845,0.589,0,"0","CSF3R"
"NCF1",0,0.781949528939945,0.866,0.639,0,"0","NCF1"
"CD14",0,0.771974985994283,0.909,0.636,0,"0","CD14"
"RP11-1143G9.4",0,0.771437041603489,0.765,0.559,0,"0","RP11-1143G9.4"
"LRRK2",0,0.768274981626361,0.717,0.499,0,"0","LRRK2"
"PADI4",0,0.756686526898966,0.376,0.118,0,"0","PADI4"
"METTL9",0,0.755015179408471,0.763,0.573,0,"0","METTL9"
"CD36",0,0.747154150404139,0.803,0.574,0,"0","CD36"
"RETN",0,0.730143899039194,0.416,0.248,0,"0","RETN"
"GCA",0,0.718507001679966,0.673,0.481,0,"0","GCA"
"EGR1",0,0.711874908415135,0.577,0.46,0,"0","EGR1"
"SLC2A3",0,0.701331058382103,0.673,0.438,0,"0","SLC2A3"
"VNN2",0,0.690473468709883,0.447,0.209,0,"0","VNN2"
"CDA",0,0.690393297225992,0.589,0.353,0,"0","CDA"
"FCN1",0,0.671439037699502,0.988,0.828,0,"0","FCN1"
"ITGAM",0,0.663319719736219,0.568,0.335,0,"0","ITGAM"
"CES1",0,0.659605282592506,0.333,0.136,0,"0","CES1"
"TSPO",0,0.657288836646287,0.969,0.884,0,"0","TSPO"
"SELL",0,0.64977020099746,0.746,0.533,0,"0","SELL"
"RGS2",0,0.647758450966424,0.843,0.707,0,"0","RGS2"
"PGD",0,0.633892535171225,0.634,0.446,0,"0","PGD"
