"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,1.72058284238054,0.999,0.895,0,"0","S100A8"
"2",0,1.64870982031995,0.968,0.605,0,"0","S100A12"
"3",0,1.60806013825121,1,0.957,0,"0","S100A9"
"4",0,1.1636595971535,0.99,0.753,0,"0","VCAN"
"5",0,0.95468632472262,0.976,0.807,0,"0","MNDA"
"6",0,0.893832938786946,0.609,0.325,0,"0","RBP7"
"7",0,0.893443721207513,0.58,0.292,0,"0","CYP1B1"
"8",0,0.871868491047642,0.672,0.452,0,"0","PLBD1"
"9",0,0.841750459711297,0.737,0.482,0,"0","MEGF9"
"10",0,0.838746916449821,0.927,0.747,0,"0","CTSD"
"11",0,0.912635189235413,0.889,0.533,0,"1","LGALS2"
"12",0,0.705114904707973,0.896,0.587,0,"1","CPVL"
"13",0,0.584506970504413,0.84,0.61,0,"1","YBX3"
"14",0,0.561239599416604,0.988,0.801,0,"1","GPX1"
"15",0,0.534363794109653,0.94,0.674,0,"1","MS4A6A"
"16",0,0.529237080257788,0.842,0.564,0,"1","HLA-DMA"
"17",0,0.523454856405027,0.782,0.513,0,"1","HLA-DMB"
"18",0,0.52139050361907,0.805,0.568,0,"1","KLF10"
"19",0,0.51912176214153,0.978,0.813,0,"1","FGL2"
"20",0,0.481355837587394,0.955,0.805,0,"1","AP1S2"
"21",0,2.37249932842263,0.895,0.022,0,"10","MS4A1"
"22",0,2.24282686631191,0.889,0.035,0,"10","CD79A"
"23",0,1.96834314354612,0.743,0.031,0,"10","IGHM"
"24",0,1.84451642928298,0.675,0.012,0,"10","IGHD"
"25",0,1.63286219239165,0.783,0.042,0,"10","BANK1"
"26",0,1.56044370705856,0.771,0.077,0,"10","RALGPS2"
"27",0,1.49126973052536,0.918,0.345,0,"10","LTB"
"28",0,1.46223648317139,0.783,0.112,0,"10","CD79B"
"29",0,1.31529787040878,0.736,0.172,0,"10","IGKC"
"30",0,1.19297863993971,0.623,0.018,0,"10","LINC00926"
"31",0,4.32713523751135,0.647,0.018,0,"11","RNASE1"
"32",0,3.94805986395806,0.721,0.282,0,"11","HSPA1A"
"33",0,3.24809663302936,0.444,0.022,0,"11","CXCL3"
"34",0,3.22725933263183,0.629,0.052,0,"11","C1QA"
"35",0,3.16821480597644,0.487,0.062,0,"11","HSPA1B"
"36",0,3.1451734973396,0.339,0.002,0,"11","SELENOP"
"37",0,3.13746455247362,0.931,0.047,0,"11","ATP5F1E"
"38",0,3.11172409932338,0.53,0.017,0,"11","C1QB"
"39",0,2.95650826596613,0.616,0.334,0,"11","MTRNR2L12"
"40",0,2.89657085020102,0.329,0.011,0,"11","CCL2"
"41",0,2.30869217917663,0.631,0.16,0,"12","THBS1"
"42",0,1.93927626841799,0.655,0.196,0,"12","G0S2"
"43",0,1.7721552441929,0.514,0.151,0,"12","EREG"
"44",0,1.42161097914706,0.985,0.794,0,"12","NAMPT"
"45",0,1.39348497190404,0.662,0.262,0,"12","GPR183"
"46",0,1.3137501672573,0.489,0.173,0,"12","PTGS2"
"47",1.3073250004016e-295,1.52862858950193,0.748,0.398,3.68521844363208e-291,"12","IL1B"
"48",3.7773349189335e-246,1.74167268032515,0.79,0.486,1.06479294029816e-241,"12","CXCL8"
"49",1.93714496634626e-225,1.30190235807741,0.287,0.087,5.46061794563346e-221,"12","AREG"
"50",8.04548328946654e-178,1.37175033200869,0.258,0.081,2.26794128446772e-173,"12","CXCL2"
"51",0,2.0103770694945,0.957,0.217,0,"13","FCGR3A"
"52",0,1.80273082692568,0.868,0.132,0,"13","CDKN1C"
"53",0,1.3591426373373,0.316,0.031,0,"13","LYPD2"
"54",0,1.16956949104914,0.694,0.219,0,"13","IL7R"
"55",0,1.13994379822029,0.815,0.207,0,"13","TCF7L2"
"56",0,1.11649131342981,0.803,0.253,0,"13","RHOC"
"57",0,1.10054027545226,0.906,0.486,0,"13","IFITM3"
"58",1.79145483646776e-283,1.20405579299098,0.593,0.241,5.04993203851896e-279,"13","CCL5"
"59",6.81491841383081e-279,1.24110492750738,0.651,0.291,1.92105735167477e-274,"13","NKG7"
"60",2.57690961869586e-160,1.33727344179973,0.525,0.268,7.26405052414177e-156,"13","GNLY"
"61",0,4.42632697771553,0.438,0.022,0,"14","PTGDS"
"62",0,4.04045037152605,0.923,0.097,0,"14","GZMB"
"63",0,3.37954077125489,0.941,0.157,0,"14","TCF4"
"64",0,3.23304525814479,0.927,0.032,0,"14","JCHAIN"
"65",0,3.19188972913744,0.936,0.319,0,"14","PPP1R14B"
"66",0,3.17560495299149,0.92,0.217,0,"14","CCDC50"
"67",0,3.13287553106162,0.92,0.115,0,"14","UGCG"
"68",0,2.95342627911423,0.906,0.111,0,"14","C12orf75"
"69",0,2.92452153410595,0.901,0.063,0,"14","ITM2C"
"70",0,2.86779001937695,0.925,0.299,0,"14","IRF8"
"71",0,1.55140782916307,0.606,0.162,0,"15","LMNA"
"72",0,1.23287392965483,0.509,0.114,0,"15","CLEC10A"
"73",2.94995837421603e-233,1.12331860935135,0.996,0.958,8.31563766107758e-229,"15","HLA-DRA"
"74",2.76817094074467e-208,1.36329565297899,0.988,0.774,7.80319706486515e-204,"15","HLA-DPB1"
"75",5.55422599881774e-185,1.19385855260623,0.835,0.422,1.56568076680673e-180,"15","HLA-DQA1"
"76",7.57744987603926e-141,1.40349940324313,0.607,0.267,2.13600734555671e-136,"15","GPR183"
"77",3.38478041348125e-107,1.16912466678106,0.441,0.173,9.5413575075623e-103,"15","FABP5"
"78",1.21214749706791e-88,1.3802715939606,0.233,0.068,3.41692257948474e-84,"15","ATP5F1E"
"79",5.66935299456358e-69,1.25814722977037,0.801,0.585,1.59813391563753e-64,"15","TXN"
"80",1.17096471496431e-68,1.35358052532868,0.206,0.066,3.30083243501291e-64,"15","RACK1"
"81",0,2.04562048622308,0.83,0.076,0,"16","FCER1A"
"82",0,1.65621384205912,0.755,0.114,0,"16","CLEC10A"
"83",0,1.37932319092041,0.679,0.07,0,"16","CD1C"
"84",5.70262337576048e-302,1.99944454747446,0.968,0.422,1.60751250339312e-297,"16","HLA-DQA1"
"85",4.5013782567867e-250,1.59985554370373,0.995,0.774,1.2688935168056e-245,"16","HLA-DPB1"
"86",2.94757291829726e-246,1.3502285340093,0.995,0.958,8.30891329938814e-242,"16","HLA-DRA"
"87",5.20638486199134e-237,1.51359721537651,0.99,0.811,1.46762782874674e-232,"16","HLA-DPA1"
"88",2.23238934902202e-223,1.48569309620188,0.98,0.673,6.29288233595817e-219,"16","HLA-DQB1"
"89",4.56375628389855e-211,1.50727171805051,0.993,0.87,1.28647725886816e-206,"16","HLA-DRB1"
"90",1.34064349397078e-64,1.26742216211521,0.716,0.488,3.77913994515422e-60,"16","HLA-DRB5"
"91",0,8.0678799336367,0.76,0.068,0,"17","IGHA1"
"92",0,6.74916838361817,0.869,0.045,0,"17","JCHAIN"
"93",0,5.73311605007119,0.342,0.012,0,"17","IGHG1"
"94",0,5.33336034919817,0.262,0.013,0,"17","IGHG3"
"95",0,4.65018469964954,0.221,0.007,0,"17","IGHG4"
"96",0,4.16269723647931,0.798,0.028,0,"17","MZB1"
"97",7.39701847391605e-223,9.20331642733161,0.732,0.185,2.0851455376122e-218,"17","IGKC"
"98",9.13167001649309e-223,8.16666439672861,0.505,0.074,2.57412646094924e-218,"17","IGLC2"
"99",3.32720801490124e-179,8.14294078250633,0.317,0.037,9.3790666732051e-175,"17","IGLC3"
"100",2.59050916609925e-60,4.74723272077563,0.232,0.049,7.30238628831719e-56,"17","IGHM"
"101",0,2.45174652891774,0.834,0.065,0,"18","C1orf54"
"102",0,2.41221458047773,0.462,0.045,0,"18","S100B"
"103",0,2.2670018033817,0.673,0.018,0,"18","DNASE1L3"
"104",0,2.20446716148071,0.828,0.113,0,"18","WDFY4"
"105",1.45759933403955e-238,2.62718480957213,1,0.424,4.10882676272409e-234,"18","HLA-DQA1"
"106",1.0629045221162e-213,2.79501088612762,1,0.811,2.99622155739336e-209,"18","HLA-DPA1"
"107",2.55202073719992e-211,2.88739171687082,1,0.775,7.19389125609285e-207,"18","HLA-DPB1"
"108",8.54367845802818e-193,2.264915328158,0.992,0.674,2.40837752053356e-188,"18","HLA-DQB1"
"109",3.23335308948166e-175,2.2141762648505,0.997,0.87,9.11449902393984e-171,"18","HLA-DRB1"
"110",3.65904245736239e-156,2.34844568232498,0.938,0.634,1.03144747830588e-151,"18","CPVL"
"111",0,6.78505365746929,0.912,0,0,"19","TPSB2"
"112",0,6.59952135981391,0.944,0.022,0,"19","HPGD"
"113",0,6.12379838059944,0.894,0,0,"19","TPSAB1"
"114",0,5.92813378207416,0.876,0.003,0,"19","CTSG"
"115",0,5.27140587224317,0.865,0.001,0,"19","CPA3"
"116",0,3.79518073649585,0.715,0.045,0,"19","SELENOK"
"117",0,3.64640818867166,0.729,0.002,0,"19","MS4A2"
"118",0,3.57687393687195,0.409,0.007,0,"19","H3-3B"
"119",0,3.55642904068904,0.385,0.018,0,"19","CCL2"
"120",0,3.54156602280458,0.353,0,0,"19","ADCYAP1"
"121",0,3.14782424979553,0.844,0.215,0,"2","GNLY"
"122",0,2.90090975504887,0.931,0.234,0,"2","NKG7"
"123",0,2.66039348277079,0.882,0.184,0,"2","CCL5"
"124",0,2.05781865182215,0.73,0.071,0,"2","GZMA"
"125",0,1.78215201251288,0.567,0.048,0,"2","GZMH"
"126",0,1.64673219763007,0.515,0.036,0,"2","FGFBP2"
"127",0,1.64469223443411,0.738,0.205,0,"2","IL32"
"128",0,1.60903690108632,0.561,0.04,0,"2","PRF1"
"129",0,1.58081971462133,0.553,0.038,0,"2","KLRD1"
"130",0,1.54271728537454,0.657,0.115,0,"2","SYNE2"
"131",0,2.39442309347449,0.84,0.067,0,"20","RP11-620J15.3"
"132",0,2.15296326426695,0.585,0.006,0,"20","SPINK2"
"133",0,1.91505213944492,0.904,0.09,0,"20","STMN1"
"134",0,1.85797335893532,0.66,0.015,0,"20","KIAA0125"
"135",0,1.84102541101416,0.745,0.005,0,"20","PRSS57"
"136",2.50826658785541e-296,2.54485625585989,0.936,0.127,7.07055268450561e-292,"20","CDK6"
"137",1.49902820176197e-143,2.68287389248981,0.952,0.294,4.22561059794683e-139,"20","SOX4"
"138",8.55447664497396e-107,1.64295461172291,0.995,0.984,2.41142142145171e-102,"20","RPS4X"
"139",2.2303063196996e-100,1.81855272470734,0.989,0.788,6.28701048460119e-96,"20","NPM1"
"140",1.04628202664864e-86,1.74317806256357,0.979,0.767,2.94936440491984e-82,"20","HSP90AB1"
"141",0,3.26562002962453,0.981,0.163,0,"3","FCGR3A"
"142",0,2.79807793060457,0.854,0.082,0,"3","CDKN1C"
"143",0,2.02343441674855,0.943,0.453,0,"3","IFITM3"
"144",0,2.02226864179013,0.294,0.013,0,"3","LYPD2"
"145",0,1.87794677408463,1,0.881,0,"3","LST1"
"146",0,1.8497614192119,0.925,0.336,0,"3","LINC01272"
"147",0,1.77588383340022,0.984,0.696,0,"3","IFITM2"
"148",0,1.77552376262216,0.939,0.476,0,"3","MS4A7"
"149",0,1.77136161735556,0.727,0.08,0,"3","HES4"
"150",0,1.75723008125953,0.861,0.16,0,"3","TCF7L2"
"151",0,1.92513275361277,0.877,0.178,0,"4","IL7R"
"152",0,1.58420010848776,0.887,0.319,0,"4","LTB"
"153",0,1.27579198729542,0.686,0.154,0,"4","TRBC2"
"154",0,1.27182246099135,0.687,0.101,0,"4","TCF7"
"155",0,1.25263495354723,0.764,0.134,0,"4","CD3E"
"156",0,1.21940754187805,0.709,0.124,0,"4","TRAC"
"157",0,1.19239986096915,0.757,0.165,0,"4","ETS1"
"158",0,1.18416423000546,0.777,0.151,0,"4","CD3D"
"159",0,1.16262380658112,0.712,0.109,0,"4","CD3G"
"160",0,1.13750992044683,0.772,0.215,0,"4","IL32"
"161",0,1.8822097773527,0.836,0.363,0,"5","ISG15"
"162",0,1.74279908762702,0.74,0.121,0,"5","IFI44L"
"163",0,1.59330920515086,0.792,0.284,0,"5","IFI6"
"164",0,1.52577731018253,0.686,0.183,0,"5","MX1"
"165",0,1.30184185678586,0.866,0.467,0,"5","LY6E"
"166",0,1.18957113400492,0.592,0.143,0,"5","IFI44"
"167",0,1.15527341073129,0.724,0.324,0,"5","XAF1"
"168",0,1.15521154365907,0.405,0.093,0,"5","IFIT2"
"169",0,1.14814286914253,0.685,0.332,0,"5","MX2"
"170",0,1.09070207803476,0.417,0.077,0,"5","IFIT3"
"171",0,1.83219953112937,0.393,0.192,0,"6","AP000769.1"
"172",0,1.40330953121383,0.499,0.258,0,"6","GNLY"
"173",0,1.29640197903776,0.422,0.237,0,"6","CCL5"
"174",3.17339713420144e-238,1.18028399678075,0.433,0.289,8.94548918160043e-234,"6","NKG7"
"175",9.07226480757451e-104,0.974639418476779,0.31,0.223,2.55738072660718e-99,"6","IL7R"
"176",2.86131926914982e-57,0.874577098539702,0.303,0.251,8.06577288780642e-53,"6","IL32"
"177",1.66247733181517e-39,0.592078872772133,0.191,0.333,4.68635735065378e-35,"6","HIST1H1E"
"178",3.53401806604667e-32,0.916525140906184,0.352,0.361,9.96204352637896e-28,"6","LTB"
"179",6.55535042162641e-30,1.0675523961813,0.255,0.237,1.84788773035227e-25,"6","C1orf56"
"180",1.01995039754735e-07,0.768206085165692,0.289,0.429,0.00287513817564624,"6","PLCG2"
"181",0,1.87446815698507,0.54,0.188,0,"7","G0S2"
"182",0,1.84308740615722,0.85,0.473,0,"7","CXCL8"
"183",0,1.68961275064913,0.785,0.384,0,"7","IL1B"
"184",0,1.51774637127763,0.594,0.309,0,"7","CCL3"
"185",0,1.43502762035998,0.376,0.147,0,"7","EREG"
"186",0,1.34368898687172,0.971,0.788,0,"7","NAMPT"
"187",0,1.28419151076421,0.95,0.751,0,"7","SOD2"
"188",0,1.24037395223115,0.781,0.472,0,"7","TNFAIP3"
"189",0,1.16396040360151,0.813,0.511,0,"7","IER3"
"190",1.29633669132668e-115,1.21504093178643,0.243,0.134,3.65424349918076e-111,"7","CCL4"
"191",0,2.68816468051113,0.88,0.05,0,"8","FCER1A"
"192",0,2.59857257163082,0.978,0.405,0,"8","HLA-DQA1"
"193",0,2.1844607729898,0.799,0.093,0,"8","CLEC10A"
"194",0,2.18090249935408,1,0.767,0,"8","HLA-DPB1"
"195",0,2.10232526555776,0.999,0.805,0,"8","HLA-DPA1"
"196",0,2.05495144632944,0.997,0.866,0,"8","HLA-DRB1"
"197",0,1.9894415969067,0.994,0.663,0,"8","HLA-DQB1"
"198",0,1.94616543475689,1,0.957,0,"8","HLA-DRA"
