"","ensembl_gene_id","external_gene_name","refseq_mrna"
"1","ENSG00000175899","A2M","NM_000014"
"2","ENSG00000156006","NAT2","NM_000015"
"3","ENSG00000117054","ACADM","NM_000016"
"4","ENSG00000122971","ACADS","NM_000017"
"5","ENSG00000072778","ACADVL","NM_000018"
"6","ENSG00000075239","ACAT1","NM_000019"
"7","ENSG00000139567","ACVRL1","NM_000020"
"8","ENSG00000080815","PSEN1","NM_000021"
"9","ENSG00000196839","ADA","NM_000022"
"10","ENSG00000108823","SGCA","NM_000023"
"11","ENSG00000169252","ADRB2","NM_000024"
"12","ENSG00000188778","ADRB3","NM_000025"
"13","ENSG00000239900","ADSL","NM_000026"
"14","ENSG00000038002","AGA","NM_000027"
"15","ENSG00000162688","AGL","NM_000028"
"16","ENSG00000172482","AGXT","NM_000030"
"17","ENSG00000148218","ALAD","NM_000031"
"18","ENSG00000158578","ALAS2","NM_000032"
"19","ENSG00000101986","ABCD1","NM_000033"
"20","ENSG00000136872","ALDOB","NM_000035"
"21","ENSG00000116748","AMPD1","NM_000036"
"22","ENSG00000029534","ANK1","NM_000037"
"23","ENSG00000134982","APC","NM_000038"
"24","ENSG00000118137","APOA1","NM_000039"
"25","ENSG00000110245","APOC3","NM_000040"
"26","ENSG00000130203","APOE","NM_000041"
"27","ENSG00000091583","APOH","NM_000042"
"28","ENSG00000026103","FAS","NM_000043"
"29","ENSG00000169083","AR","NM_000044"
"30","ENSG00000118520","ARG1","NM_000045"
"31","ENSG00000113273","ARSB","NM_000046"
"32","ENSG00000157399","ARSL","NM_000047"
"33","ENSG00000126522","ASL","NM_000048"
"34","ENSG00000108381","ASPA","NM_000049"
"35","ENSG00000130707","ASS1","NM_000050"
"36","ENSG00000149311","ATM","NM_000051"
"37","ENSG00000165240","ATP7A","NM_000052"
"38","ENSG00000123191","ATP7B","NM_000053"
"39","ENSG00000126895","AVPR2","NM_000054"
"40","ENSG00000114200","BCHE","NM_000055"
"41","ENSG00000083123","BCKDHB","NM_000056"
"42","ENSG00000197299","BLM","NM_000057"
"43","ENSG00000139618","BRCA2","NM_000059"
"44","ENSG00000010671","BTK","NM_000061"
"45","ENSG00000149131","SERPING1","NM_000062"
"46","ENSG00000231543","C2","NM_000063"
"47","ENSG00000204364","C2","NM_000063"
"48","ENSG00000235017","C2","NM_000063"
"49","ENSG00000226560","C2","NM_000063"
"50","ENSG00000206372","C2","NM_000063"
"51","ENSG00000235696","C2","NM_000063"
"52","ENSG00000166278","C2","NM_000063"
"53","ENSG00000125730","C3","NM_000064"
"54","ENSG00000039537","C6","NM_000065"
"55","ENSG00000021852","C8B","NM_000066"
"56","ENSG00000104267","CA2","NM_000067"
"57","ENSG00000141837","CACNA1A","NM_000068"
"58","ENSG00000081248","CACNA1S","NM_000069"
"59","ENSG00000092529","CAPN3","NM_000070"
"60","ENSG00000160200","CBS","NM_000071"
"61","ENSG00000135218","CD36","NM_000072"
"62","ENSG00000160654","CD3G","NM_000073"
"63","ENSG00000102245","CD40LG","NM_000074"
"64","ENSG00000135446","CDK4","NM_000075"
"65","ENSG00000273707","CDKN1C","NM_000076"
"66","ENSG00000129757","CDKN1C","NM_000076"
"67","ENSG00000147889","CDKN2A","NM_000077"
"68","ENSG00000087237","CETP","NM_000078"
"69","ENSG00000138435","CHRNA1","NM_000079"
"70","ENSG00000108556","CHRNE","NM_000080"
