"Natural killer (NK) cell"	"CD4+ T cell"	"Monocyte:CD16+"	"Monocyte:CD16-"	"Naive CD4+ T cell"	"Natural killer T (NKT) cell"	"Neutrophil"	"Megakaryocyte"	"B cell"	"Dendritic cell"	"Regulatory T (Treg) cell"	"Naive CD8+ T cell"	"Plasmacytoid dendritic cell"	"Plasma cell"	"Exhausted CD8+ T cell"	"MKI67+ progenitor cell"	"Endothelial cell"	"Macrophages"	"Mast cell"	"keratinocyte"	"Basal cell"	"Myofibroblast"	"Fibroblast"
"CD79A"	0.0422373420517805	0.0270290175283547	0.025488327775131	0.014866637516397	0.0190016809179274	0.0222732052385049	0.0944342796435106	0.104243922538113	5.03100841050038	0.076505016722408	0.0515826494724502	0.102775119617225	0.25089928057554	7.19230769230769	0.0240963855421687	0.729831144465291	0.00799360511590727	0.00273224043715847	0	0.0336215177713737	0.00942063118228921	0.00104602510460251	0.014
"MS4A1"	0.0341963417866926	0.0306377964354102	0.0119104335397808	0.0123888645969975	0.011035591610027	0.0386674314119109	0.059906746148852	0.145035022661722	4.65202616600119	0.0551839464882943	0.0146541617819461	0.00669856459330144	0.139388489208633	0.407692307692308	0.0120481927710843	0.26078799249531	0.000799360511590727	0	0	0	0	0.00209205020920502	0
"IGKC"	0.279579393832288	0.18235380762999	0.174368747022392	0.175703250255065	0.213403493385953	0.188700889016346	1.30425544472644	1.50185414091471	21.921247132784	0.355351170568562	0.196951934349355	0.178564593301435	8.1339928057554	1706.79615384615	0.172690763052209	52.6416510318949	0.00319744204636291	0	0	0.0016010246557797	0	0.00104602510460251	0
"IGHM"	0.0282318635680834	0.0134776844896156	0.011195807527394	0.0138463780789972	0.0124241759847987	0.0165376159067011	0.22864899958685	0.118252987227029	3.97060572593662	0.032190635451505	0.0304806565064478	0.0112918660287081	1.04676258992806	54.3307692307692	0.00803212851405622	0.360225140712946	0.00239808153477218	0.00273224043715847	0	0	0	0	0
"IGHD"	0.015463462048246	0.00559728973339225	0.00500238208670796	0.00502842151289899	0.00518892055835709	0.00650033457604436	0.0345275334946586	0.0762257931602802	3.23464446521111	0.0493311036789298	0.00703399765533412	0.00669856459330144	0.183453237410072	15.3038461538462	0.00401606425702811	0.0919324577861163	0	0	0	0	0	0	0
"BANK1"	0.0242997260758151	0.00567093828251583	0.0114340161981896	0.0325025506485935	0.00431191990060659	0.0102284676417169	0.0448562828306675	0.121549237742068	2.55067538866706	0.241638795986622	0.0082063305978898	0.0030622009569378	0.248201438848921	0.423076923076923	0.00803212851405622	0.191369606003752	0.176658673061551	0.177595628415301	0.0105263157894737	0.00064040986231188	0.107866227037211	0.0721757322175732	0.110666666666667
"RALGPS2"	0.0718388265441371	0.0517749300338783	0.0898046688899476	0.0754263226934849	0.0864576481765695	0.0412962431889877	0.0721832025025084	0.179645653069633	2.58423243564693	0.14005016722408	0.0339976553341149	0.091866028708134	0.336330935251799	1.30384615384615	0.0923694779116466	0.287054409005629	0.441247002398082	0.251366120218579	0.0631578947368421	0.257444764649376	1.62176165803109	0.803347280334728	0.249333333333333
"CD79B"	0.152160466554741	0.0994991898659596	0.953072891853263	0.0542923772044891	0.0498428707154864	0.0657680910046841	0.0587853390780853	0.121137206427689	2.49443547701979	0.144648829431438	0.101992966002345	0.0422966507177033	0.151079136690647	1.06923076923077	0.0682730923694779	0.395872420262664	0.722621902478018	0.00819672131147541	0	0.00416266410502722	0.00376825247291569	0.0366108786610879	0.0593333333333333
"CD74"	3.74357161791994	0.72286050964796	15.4199618866127	16.5526891123743	0.344807425272236	3.00716948666475	4.32084046508883	2.74536464771323	23.4651261575057	108.870819397993	0.875732708089097	0.398851674641148	37.1546762589928	10.9807692307692	0.783132530120482	10.4258911819887	38.7985611510791	70.9207650273224	0.0736842105263158	2.04354787063721	1.2213848327838	0.572175732217573	0.579333333333333
"CD37"	1.73641424405761	1.78811312417145	4.35088137208194	3.12658504591167	1.36855952641964	1.74376254660166	1.57469161305554	1.37412443345694	8.08775804944355	4.45275919732441	1.44255568581477	1.4866985645933	4.12769784172662	2.10769230769231	1.77911646586345	2.06754221388368	0.114308553157474	1.52732240437158	0.536842105263158	0.0256163944924752	0.0202543570419218	0.0407949790794979	0.024
"HLA-DRA"	3.15874348325528	0.217778759758433	16.6772272510719	16.6702375746976	0.133596433530658	2.27143676512762	3.76639320073187	2.17758549649773	18.5636734347124	103.798494983278	0.412075029308324	0.136650717703349	20.0476618705036	4.38076923076923	0.196787148594378	9.64540337711069	21.4044764188649	111.546448087432	0.147368421052632	0.907780979827089	0.74658502119642	0.419456066945607	0.552
"LINC00926"	0.0161261818503137	0.0115628222124024	0.0131014768937589	0.015012388864597	0.00993934078783892	0.011949144441258	0.0203033701233548	0.0494437577255871	1.20907314586696	0.0275919732441472	0.0134818288393904	0.00861244019138756	0.0620503597122302	0.0807692307692308	0.0160642570281124	0.0675422138836773	0	0	0	0	0	0	0
"MEF2C"	0.290447998586198	0.00854323169833554	1.56336350643163	1.26155079434485	0.00979317401154717	0.186502246439155	0.566487635011509	0.289658014009065	2.29513210432419	2.35744147157191	0.0123094958968347	0.0061244019138756	2.47392086330935	4.13076923076923	0.0160642570281124	0.626641651031895	6.3621103117506	2.24043715846995	0	0.0118475824527698	0.0372114931700424	2.18828451882845	0.707333333333333
"HLA-DQA1"	0.383847309357604	0.0311533362792753	1.79847546450691	1.42996647718991	0.0109625082218812	0.259296434375299	0.2044502154282	0.277709105892048	3.24789737490443	24.9276755852843	0.106682297772567	0.0116746411483254	3.2841726618705	1.07692307692308	0.036144578313253	1.55347091932458	3.76498800959233	19.0437158469945	0.0631578947368421	0.103105987832213	0.137541215261423	0.0481171548117155	0.0766666666666667
"TNFRSF13C"	0.0150658301670054	0.0265134776844896	0.00619342544068604	0.00437254044599913	0.0159321786158006	0.0205525284389638	0.0190048987782565	0.0420271940667491	1.12726191487554	0.0209030100334448	0.0463071512309496	0.0200956937799043	0.0539568345323741	0.253846153846154	0.0160642570281124	0.0525328330206379	0.00239808153477218	0.00546448087431694	0	0	0.0221384832783797	0.00104602510460251	0.00333333333333333
"HLA-DPB1"	1.54130953432889	0.327662395050818	7.1684135302525	4.9779915464218	0.105240078930059	1.32420418698021	0.882134214719943	0.898228265348166	7.29292328604197	52.0288461538462	0.556858147713951	0.236172248803828	7.9568345323741	1.92307692307692	0.401606425702811	3.79362101313321	9.72981614708233	38.6065573770492	0.147368421052632	0.388408581492155	0.328308996702779	0.367154811715481	0.354
