"Dendritic cell"	"Natural killer (NK) cell"	"CD4+ T cell"	"B cell"	"Monocyte:CD16-"	"Natural killer T (NKT) cell"	"Naive CD4+ T cell"	"Monocyte:CD16+"	"Neutrophil"	"Naive CD8+ T cell"	"Regulatory T (Treg) cell"	"Plasma cell"	"Megakaryocyte"	"Plasmacytoid dendritic cell"	"MKI67+ progenitor cell"	"Exhausted CD8+ T cell"	"Macrophages"	"Endothelial cell"	"Mast cell"	"Fibroblast"	"keratinocyte"	"Basal cell"	"Myofibroblast"
"IGKC"	0.343480049362402	0.225528700906344	0.0961740291956874	26.7380404505268	0.133872931738414	0.110963101105635	0.0848835776764815	0.132295719844358	1.60618262111963	0.0859069932552361	0.0793795620437956	2920.14150943396	0.131484110516545	7.91740412979351	25.4451697127937	0.0681818181818182	0.0466906105695228	0.0663155374670816	0.00408163265306122	0.0234547461368653	0.18696610636539	1.2396813101693	0.00911376492771842
"CD79A"	0.0386672151378034	0.0557401812688822	0.0247113825016697	6.03027734043842	0.0183367953584987	0.0239110163847076	0.0224220771220894	0.0371146363364262	0.0731263800493571	0.167909123180689	0.0401459854014599	8.25471698113208	0.0200939172217975	0.252212389380531	0.318537859007833	0.0303030303030303	0.0184710107747563	0.00287287526933206	0	0.00165562913907285	0.0143290162579223	0.00188115525063627	0.00471401634192332
"MS4A1"	0.0287947346770876	0.0349697885196375	0.0226123461501765	5.18917282305922	0.0140391089463505	0.0332356467297189	0.00788468646051497	0.0152648907512721	0.0482530198727107	0.00780972665956692	0.0109489051094891	0.716981132075472	0.018346620072076	0.125368731563422	0.172323759791123	0.0151515151515152	0.00667008722421755	0.000957625089777352	0	0.000551876379690949	0.00440892807936071	0.00221312382427797	0.000628535512256443
"IGHM"	0.0148087206910736	0.0331570996978852	0.0133575040549566	4.52658350490493	0.0143972494806962	0.014719595044625	0.00973265984969816	0.0143669560011972	0.061891154695415	0.0070997515086972	0.0264598540145985	39.8396226415094	0.00720760074260129	0.96165191740413	4.588772845953	0	0	0.000239406272444338	0	0	0	0.000221312382427797	0
"IGHD"	0.0106951871657754	0.0159365558912387	0.00496135864898388	3.40813854910985	0.00537210801518516	0.00559477820700679	0.00369594677836639	0.00718347800059862	0.0263670606572282	0.00425985090521832	0.0072992700729927	0.0377358490566038	0.00371300644315824	0.13716814159292	0.0587467362924282	0	0	0	0	0	0	0	0
"CD79B"	0.107157548334019	0.170996978851964	0.134624558725312	3.256146300109	0.0562280638922713	0.0737977887305182	0.0787236663792041	1.01676144866806	0.0559163527730874	0.0695775647852325	0.137773722627737	1.59433962264151	0.0873648574860762	0.129793510324484	0.310704960835509	0.113636363636364	0.0169317598768599	0.351687814220733	0.0244897959183673	0.100165562913907	0.0154312482777625	0.00641805909040611	0.0835952231301069
"BANK1"	0.109214315096668	0.0254531722054381	0.00295773304074039	2.56812401598644	0.0308717140605974	0.00912481683761822	0.00283355919674757	0.00718347800059862	0.0402000259773997	0.00248491302804402	0.00821167883211679	0.264150943396226	0.014852025772633	0.200589970501475	0.129242819843342	0	0.0682401231400718	0.0971989466124012	0.00408163265306122	0.0499448123620309	0.0012400110223202	0.0299878278189665	0.0502828409805154
"RALGPS2"	0.0787741670094611	0.0691842900302115	0.0473237286518462	2.47838197892697	0.0701955447317527	0.0293059810843213	0.0772452876678576	0.0897934750074828	0.0691648266008573	0.0738374156904508	0.0145985401459854	0.971698113207547	0.0222780386589494	0.286135693215339	0.182767624020888	0.0681818181818182	0.0897896357106208	0.197988987311468	0.0122448979591837	0.245033112582781	0.284926977128686	0.93670465862565	0.506599622878693
"CD37"	2.53578774167009	2.01744712990937	2.21896765575804	9.57829720237374	3.30255712341523	1.92593579325962	1.91770358506838	5.02663873091889	1.86485257825692	1.95101171458999	1.81478102189781	2.5188679245283	1.15212405809763	4.04867256637168	1.60835509138381	2.15151515151515	0.87891226269882	0.0409384725879818	0.46530612244898	0.0347682119205298	0.160099200881786	0.0322009516432444	0.0465116279069767
"CD74"	132.461744138215	4.55377643504532	0.892090449384601	27.6337652900569	17.2766277487286	3.21080325029972	0.47690033263521	17.5621071535468	5.10793609559683	0.54490592829251	1.25456204379562	17.7830188679245	2.62302063994758	37.5191740412979	11.6070496083551	1.48484848484848	39.6100564391996	22.5812784294949	0.314285714285714	1.60761589403974	3.41926150454671	1.40699347128472	2.03174104336895
"LINC00926"	0.0361990950226244	0.0205438066465257	0.00868237763572178	1.35000605546809	0.0159014397249481	0.0109897429066205	0.00714549710484169	0.011972463334331	0.0185738407585401	0.00851970181043664	0.00821167883211679	0.0660377358490566	0.00709839467074369	0.0619469026548673	0.0456919060052219	0.00757575757575758	0.0133401744484351	0.0124491261671056	0	0.00938189845474614	0.00261780104712042	0.00309837335398916	0.00377121307353866
"HLA-DRA"	112.214109419992	4.00075528700906	0.258944757179658	23.2451253481894	18.4234653678103	2.36053017183962	0.161020081310829	19.731816821311	4.42148330952072	0.164004259850905	0.548357664233577	7.28301886792453	1.24549524953587	21.9144542772861	10.7911227154047	0.234848484848485	53.8794253463315	14.2295906152741	0.248979591836735	1.21440397350993	1.81220721961973	1.34403009848401	1.22595851665619
"TNFRSF13C"	0.0164541341011929	0.0181268882175227	0.0304360270966511	1.33171854184328	0.00436931451901726	0.0193819102171307	0.0189725267956141	0.00688416641724035	0.0142875698142616	0.0262690805821796	0.0492700729927007	0.311320754716981	0.0247897783116741	0.0648967551622419	0.0509138381201044	0.00757575757575758	0.00615700359158543	0.00742159444577448	0	0.00441501103752759	0.00730228713144117	0.0209140201394268	0.00377121307353866
"HLA-DQA1"	24.1221719457014	0.391163141993958	0.0335845816238909	3.86908077994429	1.35011818637633	0.25136539230052	0.0126894172723913	2.01287039808441	0.171710611767762	0.0124245651402201	0.117700729927007	1.47169811320755	0.230097193403953	2.98082595870206	1.52349869451697	0.0833333333333333	9.35659312467932	2.24634905434522	0.0571428571428571	0.196467991169978	0.269633507853403	0.153701449596105	0.113764927718416
"VPREB3"	0.00802139037433155	0.0061178247734139	0.00200362560824349	1.11723386217755	0.00243535563355061	0.00286399360596776	0.00234076629296538	0.00359173900029931	0.00993635537082738	0.00212992545260916	0.00364963503649635	0.0849056603773585	0.00163809107786393	0.0383480825958702	0.0156657963446475	0	0.000513083632632119	0.000478812544888676	0	0.000275938189845475	0.000551116009920088	0.00221312382427797	0.00565681961030798
"MEF2C"	1.12402303578774	0.298716012084592	0.0104951817574659	2.36914133462517	1.21502757682114	0.17143998934328	0.0066527042010595	1.64591439688716	0.609234965579945	0.0106496272630458	0.0109489051094891	3	0.0484874959047723	2.41445427728614	0.330287206266319	0.00757575757575758	0.855310415597742	3.76059372755566	0.0204081632653061	0.274006622516556	0.0106089831909617	0.0351886688060197	3.46417347580138
