"","MM","GS","group"
"NOS2",0.804382223166592,0.674248076076784,TRUE
"AASS",0.864564963893896,0.55805981532059,TRUE
"TACC3",0.834590621052384,0.533805709142047,TRUE
"SERPINB1",0.837520920820869,0.639508803873654,TRUE
"SLAMF7",0.846353621584102,0.534676040678019,TRUE
"UBA6",0.824884251390199,0.448523042785848,TRUE
"DEPDC1B",0.829237479390689,0.573488100781068,TRUE
"TNIP3",0.830710793719733,0.677476535262924,TRUE
"SERPINB3",0.878959740435763,0.804099840308115,TRUE
"PRDM1",0.812277744061315,0.507797337572482,TRUE
"MXD1",0.802329647887376,0.552866354688239,TRUE
"CDH3",0.80493981827222,0.614760778636231,TRUE
"ARSF",0.806355936913421,0.769198406687156,TRUE
"MCM10",0.878375859619057,0.529542895347262,TRUE
"PRKCQ",0.842442436603039,0.596477925944594,TRUE
"PRR11",0.834036414276279,0.471877601548213,TRUE
"MAPK6",0.863761177629351,0.515781909769313,TRUE
"TRIP13",0.830390781797808,0.53027742688816,TRUE
"TRIB2",0.81990068977194,0.461539126458093,TRUE
"SPAG5",0.820729578388256,0.456754638861796,TRUE
"IL4R",0.865820126441402,0.66801534983883,TRUE
"LAMP3",0.824467737584767,0.499303607815305,TRUE
"NDC80",0.842884944857457,0.510905498043204,TRUE
"RAB10",0.85668737871614,0.422596706493177,TRUE
"TTC39A",0.872110186570858,0.731668691241593,TRUE
"TPX2",0.84736872771772,0.473024936366,TRUE
"OAS1",0.834523907267098,0.581860292724,TRUE
"BIRC5",0.821533644608718,0.595243897047658,TRUE
"RGS1",0.802336663141093,0.633199230051855,TRUE
"KIF4A",0.878588039769953,0.497048912294234,TRUE
"TGM1",0.845156380136445,0.772933867212819,TRUE
"CLSPN",0.821169992347971,0.435551751229141,TRUE
"CDC45",0.816375026163075,0.615349074055037,TRUE
"CDC6",0.898443368040907,0.579351026145153,TRUE
"SLC5A1",0.873510897184297,0.694669301289732,TRUE
"APOL1",0.825034824330549,0.584825958682752,TRUE
"KCNK10",0.820008985908185,0.565896310229648,TRUE
"GZMB",0.808971840648181,0.626161534557108,TRUE
"SPTLC2",0.936540740361911,0.600782613712553,TRUE
"HIF1A",0.811513844072128,0.40859768203019,TRUE
"GINS1",0.860321010955971,0.487251181514286,TRUE
"CDC25B",0.810244896809564,0.566344139994658,TRUE
"FERMT1",0.804738652811417,0.514515803248973,TRUE
"AMMECR1",0.86226826765066,0.514947842088438,TRUE
"GDPD3",0.81399589754936,0.738675416705083,TRUE
"HAS3",0.804440881740198,0.598789457097935,TRUE
"ABCC1",0.847551125165643,0.531402711574114,TRUE
"SQLE",0.854998667350427,0.505165523564285,TRUE
"ASF1B",0.844565598729084,0.608497948198179,TRUE
"CCNE1",0.853192412381156,0.670915938650754,TRUE
"NAMPT",0.869228824571353,0.639619469138099,TRUE
"PON2",0.8231040773965,0.53296912388775,TRUE
"HYAL4",0.848028663089466,0.674887916735889,TRUE
"TRIM14",0.838860252897991,0.42647713121253,TRUE
"NCAPG",0.859243246044173,0.521101796164379,TRUE
"PANX1",0.834498253119924,0.44120206391015,TRUE
"FOXM1",0.862513297651088,0.551336112578038,TRUE
"OAS3",0.866183626653069,0.565280206683536,TRUE
"OAS2",0.854864475477372,0.560810188443939,TRUE
"TIMELESS",0.851451736097998,0.498852063083073,TRUE
"NCOA7",0.821824740031575,0.420633989908112,TRUE
"IL17A",0.808614002660846,0.655637641307651,TRUE
"FBXO9",0.807437219479052,0.504424410185753,TRUE
"VNN1",0.809908823557536,0.586300432937589,TRUE
"KIF20A",0.873389519134317,0.596017603464534,TRUE
"POLR3G",0.860408262153557,0.557605763397614,TRUE
"LMNB1",0.874734581761149,0.546401087715516,TRUE
"HRH2",0.844213857720351,0.67053675654047,TRUE
"WNT5A",0.880244520303807,0.624137959718184,TRUE
"IFIH1",0.840144690499132,0.442835333429005,TRUE
"STAT1",0.890210872135889,0.552841145068703,TRUE
"KYNU",0.885537188521834,0.747814167508842,TRUE
"GBP1",0.865169855152463,0.588976673422921,TRUE
"CDC20",0.827802764945676,0.696858830889244,TRUE
"MREG",0.865464009028495,0.608448448011173,TRUE
"ATP10B",0.830965805659149,0.546253633628412,TRUE
"SGK1",0.815215674185882,0.61191438771251,TRUE
"GPR68",0.817964819682369,0.674846363051527,TRUE
"IFIT3",0.81920667151924,0.495921251205641,TRUE
"CD274",0.859916716745972,0.616234046692941,TRUE
"TRIM25",0.813897640565845,0.405934775059193,TRUE
"NCAPH",0.813065707996111,0.49997643289928,TRUE
"PLBD1",0.877919569762343,0.67168042089298,TRUE
"KIF18A",0.808189772777043,0.44166947939212,TRUE
"GJB6",0.881666705803839,0.742077082473139,TRUE
"TNFSF10",0.837178284945312,0.547808782233987,TRUE
"ZWINT",0.818744202245152,0.558903884692569,TRUE
"STIL",0.842432819413616,0.465756435051196,TRUE
"NMI",0.863746294660219,0.509913480404925,TRUE
"KCNJ2",0.814438426797827,0.452968815625943,TRUE
"RAB38",0.86214600090649,0.638994238836566,TRUE
"CKS2",0.81505461998223,0.658419642241396,TRUE
"PI3",0.838771982829066,0.831426792736596,TRUE
"DLGAP5",0.87048560055126,0.577682681067228,TRUE
"APOL2",0.818693624708391,0.527072887494658,TRUE
"CHAC1",0.821798122145422,0.768548983433127,TRUE
"TXNDC17",0.837299529118659,0.626594235065881,TRUE
"IDO1",0.803814890374845,0.579156818451808,TRUE
"TOP2A",0.853748214246592,0.465959873224603,TRUE
"GCH1",0.888723810887664,0.532161267709203,TRUE
"CARD6",0.852387798475827,0.541172249049613,TRUE
"EPSTI1",0.823046307313876,0.533674877159015,TRUE
"EPHB2",0.824556492495292,0.65721069169743,TRUE
"CCNB1",0.910840299496452,0.709673517379899,TRUE
"IRAK2",0.898079149630783,0.664066182814409,TRUE
"CMPK2",0.825792730515033,0.528312869855584,TRUE
"CDCA8",0.829712721777232,0.516022681322324,TRUE
"DSC2",0.857034515353155,0.594118034065138,TRUE
"DSG3",0.903201018055082,0.635891579044044,TRUE
"TCN1",0.854632885808527,0.754358082965144,TRUE
"TMEM165",0.862031684102233,0.681267708562942,TRUE
"OASL",0.854498299582289,0.711702196028359,TRUE
"EHF",0.912985955163779,0.684660138006052,TRUE
"PRRG4",0.850916478971145,0.505113965047298,TRUE
"MPHOSPH6",0.872668301699869,0.622011210219128,TRUE
"CKAP4",0.910962788067587,0.561863591636145,TRUE
"TMPRSS4",0.826905820215934,0.675419215379445,TRUE
"NUSAP1",0.800743423701624,0.42715642267507,TRUE
"KIF23",0.840441240941234,0.484214973262959,TRUE
"IFI44",0.831027310910346,0.556111073890821,TRUE
"CLCA2",0.898963616023692,0.557192236075169,TRUE
"KIF11",0.840191389011394,0.418826241750769,TRUE
"CEP55",0.820607320324882,0.517174398362796,TRUE
