"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DEFB4A",3.83324590169217e-276,3.6650477365289,1,1,1.08055368722801e-271
"POU3F1",3.38504197617183e-76,-0.408272062109671,0.24,0.71,9.54209482663078e-72
"NFIC",1.71643743254911e-70,-0.39895441149126,0.312,0.755,4.83846547861269e-66
"PI3",9.027520110224e-67,2.20045159872545,0.836,0.801,2.54476764387104e-62
"AOPEP",1.23713689709472e-65,-0.510805693309166,0.29,0.707,3.48736519922031e-61
"THRAP3",7.36788846742384e-57,-0.330465934386251,0.434,0.855,2.07693408008211e-52
"RPA3",8.23369645097463e-57,-0.333715106809637,0.246,0.63,2.32099669256524e-52
"MYC",2.58034409149617e-56,-0.321891853727305,0.322,0.742,7.27373195951854e-52
"TKT",2.59209653790567e-56,-0.472068958643426,0.404,0.813,7.30686093070229e-52
"CBR1",1.07286260129323e-55,-0.403849430348066,0.477,0.887,3.02429238678548e-51
"PHGDH",1.15806297370341e-55,-0.35584026443286,0.357,0.763,3.26446371657253e-51
"PEBP1",1.15240287370741e-54,-0.35443135002009,0.615,0.952,3.24850846069382e-50
"FBL",2.35413923347122e-54,-0.354949160061572,0.403,0.812,6.63608308523203e-50
"PTMA",4.9419978290195e-54,-0.625761204358072,0.951,1,1.39309976802231e-49
"CYC1",2.03828044495561e-53,-0.378093434870887,0.461,0.868,5.74570874628536e-49
"PRXL2A",2.95897935833811e-53,-0.454831732381797,0.253,0.621,8.34106691321929e-49
"RANBP1",3.4146269704399e-53,-0.472561684049517,0.474,0.853,9.62549196697303e-49
"MZT2A",7.53765131716532e-53,-0.315911467434109,0.378,0.775,2.12478852979573e-48
"PDLIM1",9.94662635529493e-53,-0.433869172397487,0.384,0.755,2.80385450329409e-48
"ESD",1.62779797317065e-52,-0.315833277320108,0.316,0.702,4.58859970657074e-48
"TP63",1.98900745708857e-51,-0.493866851285525,0.289,0.678,5.60681312078696e-47
"SPRR2A",2.54741102039167e-51,1.59995963130598,0.875,0.91,7.18089692538209e-47
"MRPS34",3.26362343487969e-51,-0.326129909417685,0.464,0.851,9.19982810058235e-47
"IMPA2",1.24061477291674e-50,-0.440594463200856,0.565,0.935,3.49716898337499e-46
"DUT",6.75762485814625e-50,-0.33336668414176,0.301,0.683,1.90490687126285e-45
"LIMA1",3.62726856113689e-49,-0.301528163131849,0.275,0.656,1.02249073469888e-44
"HNRNPR",8.08951108972245e-49,-0.314836683417117,0.478,0.847,2.28035228108186e-44
"S100A7",1.15855794140571e-48,0.707242373140266,0.988,0.998,3.26585898102855e-44
"MT1X",2.15991701792009e-48,-0.58518685561138,0.366,0.748,6.08859008181494e-44
"NME1",3.68170109788908e-48,-0.367626901328058,0.507,0.9,1.03783472248395e-43
"MICOS13",5.13870332210599e-48,-0.356761740657959,0.421,0.804,1.44854907946846e-43
"ARL4D",9.21568858480197e-48,-0.337613514062474,0.359,0.753,2.59781045516983e-43
"MT1E",1.78970368561472e-47,-0.36921144594561,0.245,0.615,5.04499571937933e-43
"C1orf21",2.35758007850426e-47,-0.306818631562485,0.405,0.791,6.64578248329567e-43
"NFIB",2.44509643724783e-47,-0.301606576838416,0.147,0.483,6.89248234695791e-43
"ERP29",2.45433928541068e-47,-0.336407408620992,0.483,0.868,6.91853701164417e-43
"HSPD1",2.51192528332593e-47,-0.43190338715923,0.501,0.869,7.08086618116747e-43
"DEK",2.52273204886129e-47,-0.349588026549058,0.433,0.795,7.11132937253508e-43
"CENPX",2.62922946765038e-47,-0.330820907447531,0.448,0.825,7.41153494635964e-43
"TXNDC17",2.67980844886175e-47,-0.558185663204372,0.609,0.933,7.55411203649638e-43
"SERPINB3",3.76402304700014e-47,1.25473001079498,0.914,0.949,1.06104045671887e-42
"LAMTOR4",4.01303620401888e-47,-0.343423722457271,0.53,0.908,1.13123477555088e-42
"ARL6IP4",3.19895719533899e-46,-0.357491419814266,0.503,0.886,9.01754043794107e-42
"ATP1A1",4.25950995001553e-46,-0.32008308660539,0.445,0.81,1.20071325980988e-41
"PCNA",4.4434105073904e-46,-0.317233351437913,0.163,0.495,1.25255298792828e-41
"CCND1",1.94733282736862e-45,-0.325121132052936,0.22,0.567,5.48933650706941e-41
"NFIA",2.52374916450408e-45,-0.333677488549228,0.331,0.71,7.11419651982056e-41
"ANP32B",2.94478825204582e-45,-0.320800420529732,0.517,0.901,8.30106360369196e-41
"PHB2",1.30765288677229e-44,-0.308191711475596,0.474,0.862,3.68614272252242e-40
"C12orf75",2.30687737529803e-44,-0.385338331299354,0.21,0.547,6.50285663322763e-40
"RPL7A",3.51480697391381e-44,-0.469620725300526,0.941,0.999,9.90788937876565e-40
"RPS2",3.55480097173165e-44,-0.476857446674415,0.964,1,1.00206284592144e-39
"VDAC2",7.5440795132412e-44,-0.405161849040595,0.578,0.925,2.12660057398756e-39
"RPS6",9.93539825138752e-44,-0.347099442034818,0.963,1,2.80068941308363e-39
"TUBB",2.43289597407993e-43,-0.466547591444085,0.424,0.775,6.85809046133393e-39
"MT-CO2",4.27111165644927e-43,-0.55455363929135,0.952,0.992,1.20398366483648e-38
"EXT1",4.95078837139557e-43,-0.5222835611832,0.158,0.467,1.3955777340127e-38
"NUCKS1",8.63893030178619e-43,-0.311728620309328,0.532,0.892,2.43522806277051e-38
"RPS3",2.73907932081076e-42,-0.448703909878561,0.949,1,7.72119069743344e-38
"MT-CO3",1.18036031533498e-41,-0.567414302635983,0.958,0.992,3.32731769289777e-37
"TIMM13",1.31373760814889e-41,-0.374391473227253,0.604,0.942,3.7032949436109e-37
"MT-CO1",1.81065108209645e-41,-0.524158183828773,0.935,0.993,5.10404433532168e-37
"DANCR",2.26823701325533e-41,-0.420174202082979,0.249,0.567,6.39393331666545e-37
"SERPINB4",3.01658125400417e-41,1.28752492290098,0.937,0.963,8.50344089691237e-37
"SLC20A1",4.02617710132103e-41,-0.341908563880914,0.203,0.537,1.13493906309138e-36
"ENAH",4.49900950768596e-41,-0.314978700887846,0.405,0.778,1.26822579012159e-36
"LSM7",5.23992453389345e-41,-0.327425547610673,0.542,0.91,1.47708232685922e-36
"SPRR2E",7.78940673495315e-41,2.0091363775758,0.772,0.744,2.19575586451594e-36
"HMGB2",1.27628864134435e-40,-0.338646268191309,0.258,0.597,3.59773005108559e-36
"ATP5MC1",1.6176226072896e-40,-0.399172773799292,0.599,0.954,4.55991636768865e-36
"RPL17",4.75064483661912e-40,-0.555350780605106,0.85,0.99,1.33915927299457e-35
"MTDH",5.53908682561035e-40,-0.326099642452105,0.561,0.908,1.5614131852713e-35
"RPL10A",8.79432250945621e-40,-0.4283578080302,0.906,0.996,2.47903157219061e-35
"RPL8",1.38414775349431e-39,-0.368641850026865,0.952,1,3.90177410232511e-35
"RPS4X",6.04044422780568e-39,-0.465093709962701,0.944,1,1.70274082337614e-34
"RPL3",8.42477219093224e-39,-0.513029504219496,0.93,1,2.37485903290189e-34
"EEF1G",1.16126015109812e-38,-0.582849604021345,0.583,0.889,3.27347623993049e-34
"SLC25A5",1.59411395206885e-38,-0.459872535366666,0.772,0.99,4.49364781948689e-34
"RPS5",1.66730519458567e-38,-0.403445215207518,0.91,1,4.69996661301755e-34
"RPS9",4.8497153731216e-38,-0.343765859988983,0.941,1,1.36708626652925e-33
"RPS7",5.42824646021506e-38,-0.360367002990103,0.936,1,1.53016839467002e-33
"FOSB",1.45025933857633e-37,-0.39240426602962,0.464,0.804,4.08813604951281e-33
"CA2",1.80118675131015e-37,-0.319169496845286,0.259,0.581,5.07736533326818e-33
"NPM1",2.1670404071157e-37,-0.547995628166673,0.81,0.986,6.10867020361846e-33
"RPSA",2.79293934312524e-37,-0.453323286214995,0.849,0.996,7.87301671433575e-33
"MICOS10",5.41329740422429e-37,-0.375131535508119,0.527,0.873,1.52595440527679e-32
"PPP1R14B",6.11446176596175e-37,-0.37041738859928,0.635,0.952,1.72360562720696e-32
"ARID1B",9.28621816575846e-37,-0.308861211816891,0.384,0.751,2.61769203874565e-32
"NDUFAB1",1.10923249467408e-36,-0.303462386874522,0.541,0.901,3.12681547923676e-32
"RPL13",1.13810159934357e-36,-0.338294640753051,0.975,1,3.20819459838958e-32
"NCOA7",1.86267645585538e-36,-0.307528763989501,0.202,0.505,5.25069866141073e-32
