"","external_gene_name","entrezgene_id"
"1","MT-ND1",4535
"2","MT-CO1",4512
"3","MT-CO2",4513
"4","MT-ATP6",4508
"5","MT-CO3",4514
"6","MT-ND4",4538
"7","MT-ND5",4540
"8","MT-ND6",4541
"9","MT-CYB",4519
"10","TGM1",7051
"11","FBL",2091
"12","SLC25A6",293
"13","SAA1",6288
"14","HMGB1",3146
"15","RPL7A",6130
"16","UFM1",51569
"17","KLF5",688
"18","IMPA2",3613
"19","CBR1",873
"20","CSTB",1476
"21","EIF3K",27335
"22","LGALS7",3963
"23","LGALS7",653499
"24","PSMA7",5688
"25","RPL3",6122
"26","ESD",2098
"27","DEFB1",1672
"28","DEFB4A",1673
"29","DEFB4A",100289462
"30","DEFB4A",124906748
"31","DEFB4B",1673
"32","DEFB4B",100289462
"33","DEFB4B",124906748
"34","GJB2",2706
"35","RPS2",6187
"36","SNHG9",NA
"37","OSER1",51526
"38","PMAIP1",5366
"39","FOS",2353
"40","BNIP3L",665
"41","ERO1A",30001
"42","PCNA",5111
"43","TOP1",7150
"44","DEK",7913
"45","RPS17",6218
"46","SLPI",6590
"47","MTDH",92140
"48","KTN1",3895
"49","RPA3",6119
"50","PRXL2A",84293
"51","CA2",760
"52","CD24",100133941
"53","NCOA7",135112
"54","HMOX1",3162
"55","RPS9",6203
"56","NFIC",4782
"57","SERPINB4",6318
"58","SERPINB3",6317
"59","LCN2",3934
"60","RDH10",157506
"61","TXNDC17",84817
"62","APOBEC3A",200315
"63","APOBEC3A",100913187
"64","MIF",4282
"65","RPL17",6139
"66","MZT2B",80097
"67","KRT2",3849
"68","EEF1B2",1933
"69","HNRNPR",10236
"70","EEF1G",1937
"71","RPS3A",6189
"72","RPL7",6129
"73","PLP2",5355
"74","HLA-DRA",3122
"75","HSPA1A",3303
"76","HSPA1B",3304
"77","MT2A",4502
"78","MT1E",4493
"79","MT1X",4501
"80","TUBB",203068
"81","RPS7",6201
"82","RPL10",6134
"83","EEF1D",1936
"84","PTTG1",9232
"85","SSBP1",6742
"86","KRTDAP",388533
"87","ATP5MC1",516
"88","THRAP3",9967
"89","RPS3",6188
"90","GABARAPL2",11345
"91","STAG1",10274
"92","TMSB10",9168
"93","PPP1R14B",26472
"94","CYC1",1537
"95","CPEB4",80315
"96","NCCRP1",342897
"97","MAFF",23764
"98","DANCR",57291
"99","HERC4",26091
"100","HMGB2",3148
"101","LGALS1",3956
"102","FGFBP1",9982
"103","DDIT4",54541
"104","MRPS34",65993
"105","PPIF",10105
"106","IGFBP7",3490
"107","PI3",5266
"108","ATP1B3",483
"109","NDUFAB1",4706
"110","AKR1B10",57016
"111","FERMT1",55612
"112","HINT1",3094
"113","FTL",2512
"114","RPL9",6133
"115","PEBP1",5037
"116","ALOX12B",242
"117","C15orf48",84419
"118","ADIRF",10974
"119","FAM25A",643161
"120","RPL13",6137
"121","RANBP1",5902
"122","CST6",1474
"123","UGCG",7357
"124","RPL8",6132
"125","EXT1",2131
"126","C12orf75",387882
"127","SULT2B1",6820
"128","NPM1",4869
"129","RPL10A",4736
"130","DUT",1854
"131","NME2",4831
"132","DCN",1634
"133","SLC25A5",292
"134","AQP3",360
"135","TUBA1B",10376
"136","LSM7",51690
"137","TIMM13",26517
"138","NME1",4830
"139","CNFN",84518
"140","RPS6",6194
"141","RPL4",6124
"142","VIM",7431
"143","NUPR1",26471
"144","RPS14",6208
"145","TOMM20",9804
"146","PRDX2",7001
"147","UBE2D3",7323
"148","KIAA1217",56243
"149","SNHG5",NA
"150","RPS23",6228
"151","EMP2",2013
"152","PLA2G4D",283748
"153","STAT3",6774
"154","NUCKS1",64710
"155","RPS4X",6191
"156","MZT2A",653784
"157","PDLIM1",9124
"158","RACK1",10399
"159","ATP1A1",476
"160","NR4A1",3164
"161","ANP32B",10541
"162","RPL29",6159
"163","CD9",928
"164","SREK1IP1",285672
"165","TAGLN2",8407
"166","PEA15",8682
"167","SNHG6",NA
"168","GAPDH",2597
"169","CD74",972
"170","TMEM40",55287
"171","PHB2",11331
"172","UBE2B",7320
"173","HNRNPA1",3178
"174","ZFP36L1",677
"175","HNRNPAB",3182
"176","MRPS24",64951
"177","TP63",8626
"178","HSPE1",3336
"179","RHCG",51458
"180","HSPD1",3329
"181","COL1A1",1277
"182","MYC",4609
"183","GM2A",2760
"184","FXYD3",5349
"185","NCL",4691
"186","STMN1",3925
"187","VDAC2",7417
"188","CHIC2",26511
"189","SPINK5",11005
"190","GRHL1",29841
"191","ATP6V1B2",526
"192","PHGDH",26227
"193","NFIB",4781
"194","APRT",353
"195","MICOS13",125988
"196","CXCL14",9547
"197","LARP1B",55132
"198","C1orf21",81563
"199","SNHG7",84973
"200","SNHG7",124900276
"201","PA2G4",5036
"202","AOPEP",84909
"203","ATP5MC3",518
"204","PTMA",5757
"205","LAMTOR4",389541
"206","UPP1",7378
"207","KRT15",3866
"208","KRT14",3861
"209","KRT16",3868
"210","DST",667
"211","MAP1LC3B",81631
"212","KRT17",3872
"213","ERP29",10961
"214","SPARC",6678
"215","YBX1",4904
"216","KLK7",5650
"217","SERBP1",26135
"218","RND3",390
"219","WWOX",51741
"220","MXD1",4084
"221","CCND1",595
"222","ARID1B",57492
"223","ISG15",9636
"224","RAN",5901
"225","TKT",7086
"226","LIMA1",51474
"227","RPL5",6125
"228","CSTA",1475
"229","RPS5",6193
"230","KRT5",3852
"231","ARL6IP4",51329
"232","SBSN",374897
"233","RPL14",9045
"234","C1QBP",708
"235","SNHG29",125144
"236","RPSA",3921
"237","FOSB",2354
"238","CD59",966
"239","MPZL3",196264
"240","S100A2",6273
"241","IVL",3713
"242","SPRR1B",6699
"243","SPRR2D",6703
"244","SPRR2A",6700
"245","SPRR2B",6701
"246","SPRR2E",6704
"247","SPRR2F",6705
"248","SPRR2G",6706
"249","ARL4D",379
"250","CENPX",201254
"251","IL36G",56300
"252","IL36RN",26525
"253","EIF4A1",1973
"254","ARF4",378
"255","FTH1",2495
"256","SLC20A1",6574
"257","MALAT1",NA
"258","FOSL2",2355
"259","RPL15",6138
"260","PPP1CB",5500
"261","MIR205HG",642587
"262","ENAH",55740
"263","SLC2A1",6513
"264","S100A8",6279
"265","S100A7A",338324
"266","S100A7",6278
"267","NFIA",4774
"268","GAS5",60674
"269","ENO1",2023
"270","MICOS10",440574
"271","JUN",3725
"272","HMGN2",3151
"273","POU3F1",5453
