"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GJB2",0,1.9157752618005,1,1,0
"KRT6A",2.2180795706069e-145,1.0670210858587,0.92,0.851,6.2525445015838e-141
"SERPINB4",7.85430016675797e-134,1.49505968804276,0.847,0.808,2.2140486740074e-129
"SERPINB3",5.00776502820256e-125,1.36062776084312,0.801,0.751,1.41163888380002e-120
"RPS8",3.42370541239913e-122,-0.345757289307781,0.987,0.999,9.6510831870119e-118
"RPL18",5.55217736547067e-121,-0.335547258828776,0.973,0.998,1.56510327755253e-116
"GJB6",1.78882845574938e-118,0.920718676806424,0.696,0.561,5.04252853391192e-114
"RPS4X",1.63197580091574e-116,-0.43861392840903,0.965,0.996,4.60037658520138e-112
"RPL7A",5.22860317178053e-110,-0.36214804856803,0.97,0.996,1.47389094809321e-105
"RPS3A",4.28908771851124e-105,-0.388106008784745,0.951,0.991,1.20905093697113e-100
"LAMTOR4",1.08829636636251e-102,-0.423378351605803,0.627,0.822,3.06779862713928e-98
"RPS14",4.43979904728326e-98,-0.313457250068567,0.981,0.999,1.25153495343868e-93
"RPS5",1.1972831023182e-96,-0.331700815810609,0.937,0.99,3.37502133712478e-92
"KRT6B",6.70829284143671e-96,1.37527832980538,0.759,0.623,1.89100066907259e-91
"RPL15",2.6642458321521e-95,-0.30927064218381,0.967,0.996,7.51024257625355e-91
"SPRR2A",1.426438232653e-92,1.33211998764007,0.721,0.568,4.02098673402554e-88
"S100A8",2.92002070290064e-92,0.615372584978858,0.99,0.997,8.23124635940662e-88
"SNHG5",4.34225451802748e-91,-0.79412669759965,0.366,0.583,1.22403812608677e-86
"ALDH3A2",1.47323066137403e-90,-0.308097915996692,0.481,0.694,4.15288991134725e-86
"RPL3",2.53638325514685e-90,-0.400376541923436,0.963,0.996,7.14981075793344e-86
"KRT16",5.45903113324068e-90,1.11702039567499,0.889,0.841,1.53884628614921e-85
"EEF1G",3.92807096768682e-88,-0.5077036802444,0.678,0.845,1.10728392508124e-83
"BTG1",2.76018737642216e-85,-0.459948146675652,0.718,0.895,7.78069219539643e-81
