"","external_gene_name","entrezgene_id"
"1","TGM1",7051
"2","RPL7A",6130
"3","CSTB",1476
"4","RPL3",6122
"5","DEFB1",1672
"6","DEFB4A",1673
"7","DEFB4A",100289462
"8","DEFB4A",124906748
"9","GJB2",2706
"10","GJB6",10804
"11","RPL21",6144
"12","PMAIP1",5366
"13","RPS17",6218
"14","ANXA1",301
"15","DSC1",1823
"16","CD24",100133941
"17","SERPINB13",5275
"18","SERPINB4",6318
"19","SERPINB3",6317
"20","RORA",6095
"21","LCN2",3934
"22","DSC2",1824
"23","RPL17",6139
"24","CEBPB",1051
"25","KRT2",3849
"26","BTG1",694
"27","EEF1G",1937
"28","RPL36A",6173
"29","RPS3A",6189
"30","RPL7",6129
"31","HLA-DRA",3122
"32","TYMP",1890
"33","MT1X",4501
"34","DMKN",93099
"35","CD36",948
"36","SERPINB1",1992
"37","CTSL",1514
"38","TMSB10",9168
"39","ALDH3A2",224
"40","CCL27",10850
"41","LGALS3",3958
"42","FGFBP1",9982
"43","PI3",5266
"44","RPL9",6133
"45","ALOX12B",242
"46","CRIP1",1396
"47","MPZL2",10205
"48","ACTB",60
"49","SULT2B1",6820
"50","RPL18",6141
"51","H3-3B",3021
"52","NME2",4831
"53","TMEM45A",55076
"54","CNFN",84518
"55","DNAJB1",3337
"56","NUPR1",26471
"57","RPS14",6208
"58","IRF1",3659
"59","SNHG5",NA
"60","RPS4X",6191
"61","NFKBIA",4792
"62","XIST",7503
"63","SQLE",6713
"64","APOE",348
"65","RHCG",51458
"66","RPS8",6202
"67","HIGD1A",25994
"68","CXCL14",9547
"69","LAMTOR4",389541
"70","RPS10",6204
"71","KRT15",3866
"72","KRT16",3868
"73","KRT17",3872
"74","LYPD3",27076
"75","KLK7",5650
"76","RPL18A",6142
"77","RPL6",6128
"78","MUCL1",118430
"79","SYPL1",6856
"80","PNRC1",10957
"81","HOPX",84525
"82","CCND1",595
"83","IFI6",2537
"84","CLEC2B",9976
"85","CRABP2",1382
"86","CSTA",1475
"87","RPS5",6193
"88","KRT6B",3854
"89","KRT6C",286887
"90","KRT6A",3853
"91","SBSN",374897
"92","SNHG29",125144
"93","S100A2",6273
"94","IVL",3713
"95","SPRR1B",6699
"96","SPRR2D",6703
"97","SPRR2A",6700
"98","SPRR2E",6704
"99","S100A11",6282
"100","IL36G",56300
"101","TCN1",6947
"102","RPL15",6138
"103","ATP1B1",481
"104","S100A9",6280
"105","S100A8",6279
"106","S100A7A",338324
"107","S100A7",6278
"108","GAS5",60674
"109","JUN",3725
"110","POU3F1",5453
