"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SERPINB4",0,2.13881298702178,0.953,0.899,0
"SERPINB3",0,2.47559749759262,1,1,0
"S100A9",9.25814012342741e-295,0.857692167707947,0.999,0.999,2.60977711939295e-290
"S100A7",2.51723210851392e-264,1.12454337667265,0.997,0.993,7.0958255906899e-260
"PI3",1.16898632110775e-209,2.42631094202212,0.673,0.362,3.29525554057063e-205
"S100A8",1.83602045571448e-209,0.716989786718885,0.999,0.999,5.17555806261355e-205
"SPRR2A",1.73015151236964e-175,1.78151614441415,0.778,0.591,4.87712409821878e-171
"FABP5",2.55227170525039e-157,0.872568193386947,0.932,0.887,7.19459870993033e-153
"GJB2",6.85537320960628e-149,1.06981426300632,0.824,0.763,1.93246115405591e-144
"KRT6A",1.24025349151672e-143,1.00923540490282,0.909,0.863,3.49615056723649e-139
"RPS19",1.0684476956542e-142,-0.33936148336989,0.982,0.998,3.01184720927963e-138
"MT1E",1.40384662826374e-132,-0.765293906955752,0.366,0.664,3.95730326041264e-128
"DEFB4A",5.62826957681394e-132,1.87466270081899,0.4,0.135,1.58655291100808e-127
"RPLP1",5.53076517604919e-129,-0.326733860087836,0.994,0.999,1.55906739547651e-124
"CLEC2B",3.6837547913333e-127,-0.622010341486107,0.533,0.8,1.03841363812895e-122
"GPX4",1.16572410783797e-126,-0.480054148053918,0.494,0.756,3.28605968758445e-122
"NFIC",2.00893756727652e-126,-0.456708293404238,0.427,0.679,5.66299410839578e-122
"EEF1A1",4.98299989344646e-119,-0.379307881234956,0.987,0.997,1.40465783996362e-114
"RPS4X",8.72107457968251e-118,-0.472108242299182,0.963,0.991,2.4583837132667e-113
"RPS9",8.40190232241462e-117,-0.347475200539267,0.954,0.996,2.36841224566546e-112
"SOD1",1.93497739576649e-116,-0.469451072764557,0.433,0.687,5.45450778092616e-112
"PHGDH",3.86292045677628e-115,-0.459757137791048,0.465,0.726,1.08891864756067e-110
"CRABP2",7.5465181456035e-115,0.752603084552298,0.822,0.827,2.12728800006417e-110
"RPL13",3.98399778512528e-114,-0.315213265462218,0.986,0.999,1.12304913564897e-109
"CXCL14",1.01446075953355e-112,-1.06248096800951,0.41,0.672,2.85966343504912e-108
"S100A7A",4.59831434042117e-109,1.36507811237658,0.639,0.474,1.29621882942132e-104
"RPS5",2.18961608398977e-108,-0.358329281378058,0.931,0.986,6.17230877915875e-104
"DST",2.33221440362801e-105,-0.822085271922927,0.18,0.435,6.57427918238701e-101
"RPL29",2.36178344494416e-105,-0.307936692482413,0.967,0.994,6.65763135295308e-101
"RPL10",7.544981513925e-105,-0.355387217290651,0.977,0.998,2.12685483896032e-100
